0.0000__21.4643, 1.0825__21.4640, 2.1677__21.4647, 3.2428__21.4613, 4.3136__21.4554, 5.3597__21.4545, 6.3948__21.4523, 7.4191__21.4401, 8.4280__21.4288, 9.4512__21.4279, 10.4779__21.4290, 11.4839__21.4273, 12.4868__21.4208, 13.4986__21.4190, 14.5057__21.4189, 15.5039__21.4176, 16.5036__21.4204, 17.4929__21.4213, 18.4808__21.4230, 19.4550__21.4211, 20.4080__21.4219, 21.3665__21.4245, 22.3368__21.4246, 23.2900__21.4217, 24.2477__21.4174, 25.1988__21.4180, 26.1564__21.4192, 27.1193__21.4166, 28.0803__21.4151, 29.0572__21.4145, 30.0390__21.4114, 31.0152__21.4057, 32.0000__21.4024, 
0.0000__20.4896, 1.0826__20.4892, 2.1682__20.4910, 3.2481__20.4955, 4.3183__20.5040, 5.3633__20.5067, 6.4030__20.4997, 7.4307__20.4956, 8.4446__20.4791, 9.4548__20.4590, 10.4762__20.4610, 11.4918__20.4598, 12.4937__20.4499, 13.5022__20.4407, 14.5127__20.4332, 15.5051__20.4296, 16.5007__20.4341, 17.4898__20.4416, 18.4800__20.4471, 19.4603__20.4513, 20.4084__20.4437, 21.3696__20.4311, 22.3351__20.4295, 23.2933__20.4301, 24.2532__20.4250, 25.1954__20.4210, 26.1540__20.4220, 27.1152__20.4297, 28.0786__20.4335, 29.0572__20.4313, 30.0426__20.4309, 31.0194__20.4285, 32.0000__20.4263, 
0.0000__19.5120, 1.0822__19.5123, 2.1646__19.5164, 3.2425__19.5258, 4.3097__19.5392, 5.3652__19.5466, 6.4100__19.5465, 7.4368__19.5378, 8.4652__19.5279, 9.4715__19.5105, 10.4787__19.4901, 11.4955__19.4865, 12.5033__19.4799, 13.5171__19.4649, 14.5212__19.4605, 15.5109__19.4586, 16.4946__19.4593, 17.4847__19.4611, 18.4760__19.4608, 19.4616__19.4608, 20.4211__19.4501, 21.3772__19.4396, 22.3336__19.4360, 23.2978__19.4304, 24.2589__19.4278, 25.1934__19.4272, 26.1515__19.4253, 27.1063__19.4242, 28.0751__19.4259, 29.0564__19.4269, 30.0426__19.4284, 31.0216__19.4298, 32.0000__19.4294, 
0.0000__18.5324, 1.0813__18.5328, 2.1589__18.5359, 3.2332__18.5443, 4.2970__18.5558, 5.3581__18.5678, 6.4097__18.5752, 7.4486__18.5702, 8.4751__18.5581, 9.4878__18.5461, 10.4987__18.5300, 11.4974__18.5137, 12.5149__18.5054, 13.5322__18.4990, 14.5231__18.4950, 15.5185__18.4892, 16.4927__18.4779, 17.4858__18.4708, 18.4762__18.4667, 19.4677__18.4659, 20.4328__18.4625, 21.3857__18.4531, 22.3383__18.4403, 23.3060__18.4311, 24.2644__18.4256, 25.1937__18.4157, 26.1531__18.4105, 27.1032__18.4105, 28.0704__18.4104, 29.0545__18.4111, 30.0404__18.4135, 31.0209__18.4158, 32.0000__18.4167, 
0.0000__17.5470, 1.0808__17.5480, 2.1558__17.5503, 3.2233__17.5578, 4.2880__17.5659, 5.3473__17.5722, 6.4055__17.5792, 7.4532__17.5852, 8.4880__17.5862, 9.5005__17.5749, 10.5114__17.5690, 11.5152__17.5531, 12.5234__17.5334, 13.5369__17.5314, 14.5305__17.5204, 15.5273__17.5088, 16.5031__17.4942, 17.4914__17.4812, 18.4814__17.4729, 19.4737__17.4688, 20.4356__17.4666, 21.3986__17.4590, 22.3498__17.4424, 23.3126__17.4323, 24.2772__17.4274, 25.2043__17.4123, 26.1539__17.4041, 27.0994__17.4040, 28.0677__17.4020, 29.0533__17.3995, 30.0405__17.3976, 31.0210__17.3954, 32.0000__17.3944, 
0.0000__16.5590, 1.0802__16.5604, 2.1525__16.5657, 3.2165__16.5697, 4.2828__16.5730, 5.3424__16.5763, 6.4003__16.5824, 7.4474__16.5916, 8.4880__16.6023, 9.5113__16.6049, 10.5148__16.5928, 11.5302__16.5823, 12.5382__16.5663, 13.5439__16.5465, 14.5432__16.5322, 15.5386__16.5217, 16.5190__16.5037, 17.5014__16.4862, 18.4887__16.4752, 19.4802__16.4737, 20.4419__16.4648, 21.4066__16.4580, 22.3663__16.4471, 23.3210__16.4302, 24.2896__16.4243, 25.2184__16.4144, 26.1546__16.4038, 27.0988__16.3949, 28.0715__16.3813, 29.0560__16.3713, 30.0422__16.3698, 31.0219__16.3715, 32.0000__16.3723, 
0.0000__15.5707, 1.0773__15.5740, 2.1484__15.5783, 3.2144__15.5794, 4.2823__15.5771, 5.3409__15.5753, 6.3931__15.5800, 7.4394__15.5867, 8.4781__15.5939, 9.5081__15.6021, 10.5234__15.5998, 11.5329__15.5895, 12.5537__15.5792, 13.5618__15.5669, 14.5606__15.5470, 15.5516__15.5303, 16.5390__15.5137, 17.5162__15.4937, 18.4984__15.4779, 19.4845__15.4719, 20.4557__15.4655, 21.4125__15.4520, 22.3795__15.4419, 23.3339__15.4299, 24.2943__15.4265, 25.2318__15.4193, 26.1677__15.3967, 27.1107__15.3699, 28.0840__15.3492, 29.0598__15.3392, 30.0404__15.3395, 31.0206__15.3425, 32.0000__15.3434, 
0.0000__14.5671, 1.0751__14.5666, 2.1448__14.5683, 3.2132__14.5697, 4.2855__14.5711, 5.3405__14.5740, 6.3902__14.5755, 7.4349__14.5792, 8.4733__14.5849, 9.5035__14.5889, 10.5263__14.5900, 11.5419__14.5813, 12.5592__14.5741, 13.5723__14.5691, 14.5774__14.5604, 15.5681__14.5406, 16.5639__14.5155, 17.5345__14.4906, 18.5102__14.4737, 19.4893__14.4659, 20.4638__14.4622, 21.4262__14.4519, 22.3902__14.4372, 23.3479__14.4210, 24.2972__14.4077, 25.2464__14.3953, 26.1860__14.3820, 27.1339__14.3607, 28.1039__14.3344, 29.0677__14.3152, 30.0347__14.3108, 31.0183__14.3155, 32.0000__14.3174, 
0.0000__13.5446, 1.0751__13.5466, 2.1423__13.5488, 3.2113__13.5512, 4.2825__13.5596, 5.3394__13.5661, 6.3899__13.5693, 7.4303__13.5733, 8.4713__13.5772, 9.5045__13.5789, 10.5280__13.5789, 11.5509__13.5794, 12.5638__13.5753, 13.5811__13.5659, 14.5906__13.5500, 15.5901__13.5303, 16.5850__13.5200, 17.5622__13.5011, 18.5301__13.4719, 19.5010__13.4518, 20.4641__13.4449, 21.4386__13.4377, 22.4056__13.4232, 23.3662__13.4078, 24.3118__13.3910, 25.2607__13.3763, 26.2002__13.3574, 27.1557__13.3340, 28.1230__13.3183, 29.0810__13.3075, 30.0365__13.2945, 31.0112__13.2923, 32.0000__13.2970, 
0.0000__12.5266, 1.0732__12.5285, 2.1414__12.5308, 3.2073__12.5328, 4.2727__12.5415, 5.3354__12.5530, 6.3866__12.5608, 7.4276__12.5631, 8.4691__12.5657, 9.5044__12.5716, 10.5289__12.5736, 11.5502__12.5729, 12.5697__12.5678, 13.5925__12.5604, 14.6099__12.5535, 15.6137__12.5388, 16.6025__12.5171, 17.5865__12.4999, 18.5575__12.4837, 19.5223__12.4658, 20.4789__12.4402, 21.4490__12.4229, 22.4233__12.4113, 23.3822__12.3981, 24.3299__12.3827, 25.2760__12.3645, 26.2266__12.3386, 27.1790__12.3085, 28.1328__12.2920, 29.0892__12.2865, 30.0444__12.2814, 31.0095__12.2725, 32.0000__12.2670, 
0.0000__11.4991, 1.0706__11.5011, 2.1386__11.5061, 3.2032__11.5117, 4.2645__11.5161, 5.3241__11.5261, 6.3797__11.5397, 7.4255__11.5475, 8.4641__11.5543, 9.4997__11.5610, 10.5288__11.5629, 11.5520__11.5601, 12.5737__11.5565, 13.5975__11.5555, 14.6195__11.5526, 15.6325__11.5478, 16.6262__11.5391, 17.6084__11.5222, 18.5792__11.4988, 19.5461__11.4746, 20.5020__11.4514, 21.4678__11.4267, 22.4425__11.4053, 23.3976__11.3886, 24.3479__11.3701, 25.3004__11.3433, 26.2555__11.3163, 27.2015__11.2980, 28.1441__11.2831, 29.0950__11.2706, 30.0522__11.2590, 31.0156__11.2493, 32.0000__11.2461, 
0.0000__10.4662, 1.0673__10.4680, 2.1331__10.4730, 3.1969__10.4803, 4.2585__10.4901, 5.3132__10.4989, 6.3669__10.5115, 7.4175__10.5263, 8.4556__10.5362, 9.4934__10.5434, 10.5284__10.5472, 11.5551__10.5470, 12.5763__10.5442, 13.5967__10.5431, 14.6199__10.5481, 15.6354__10.5525, 16.6348__10.5467, 17.6272__10.5335, 18.6020__10.5138, 19.5709__10.4921, 20.5312__10.4553, 21.4943__10.4195, 22.4613__10.4009, 23.4186__10.3824, 24.3697__10.3591, 25.3280__10.3384, 26.2822__10.3176, 27.2203__10.2950, 28.1595__10.2760, 29.1091__10.2577, 30.0617__10.2444, 31.0219__10.2346, 32.0000__10.2289, 
0.0000__9.4287, 1.0641__9.4302, 2.1272__9.4349, 3.1886__9.4422, 4.2478__9.4523, 5.3031__9.4652, 6.3524__9.4768, 7.4020__9.4924, 8.4437__9.5070, 9.4845__9.5160, 10.5245__9.5233, 11.5545__9.5278, 12.5764__9.5304, 13.5941__9.5316, 14.6137__9.5320, 15.6300__9.5349, 16.6390__9.5336, 17.6397__9.5259, 18.6195__9.5106, 19.5906__9.4897, 20.5693__9.4666, 21.5295__9.4331, 22.4844__9.4007, 23.4399__9.3790, 24.3927__9.3580, 25.3499__9.3350, 26.3032__9.3184, 27.2402__9.3043, 28.1790__9.2839, 29.1293__9.2621, 30.0742__9.2413, 31.0270__9.2299, 32.0000__9.2293, 
0.0000__8.3887, 1.0614__8.3901, 2.1217__8.3940, 3.1805__8.4007, 4.2370__8.4102, 5.2899__8.4217, 6.3398__8.4347, 7.3847__8.4480, 8.4295__8.4603, 9.4726__8.4717, 10.5140__8.4845, 11.5464__8.4966, 12.5708__8.5031, 13.5910__8.5039, 14.6100__8.5064, 15.6266__8.5074, 16.6418__8.5063, 17.6450__8.5081, 18.6338__8.5028, 19.6082__8.4843, 20.5916__8.4636, 21.5624__8.4418, 22.5148__8.4143, 23.4641__8.3840, 24.4185__8.3542, 25.3701__8.3333, 26.3160__8.3211, 27.2558__8.3058, 28.1993__8.2866, 29.1485__8.2686, 30.0950__8.2500, 31.0313__8.2326, 32.0000__8.2263, 
0.0000__7.3468, 1.0592__7.3478, 2.1171__7.3509, 3.1733__7.3563, 4.2273__7.3640, 5.2785__7.3737, 6.3265__7.3847, 7.3719__7.3959, 8.4165__7.4073, 9.4594__7.4198, 10.4989__7.4339, 11.5327__7.4473, 12.5616__7.4587, 13.5838__7.4688, 14.6040__7.4737, 15.6251__7.4761, 16.6394__7.4811, 17.6438__7.4818, 18.6410__7.4764, 19.6248__7.4614, 20.6106__7.4453, 21.5776__7.4325, 22.5400__7.4143, 23.4917__7.3866, 24.4481__7.3586, 25.3879__7.3335, 26.3299__7.3133, 27.2729__7.2940, 28.2145__7.2765, 29.1645__7.2614, 30.1113__7.2489, 31.0454__7.2335, 32.0000__7.2224, 
0.0000__6.3024, 1.0575__6.3032, 2.1135__6.3057, 3.1675__6.3099, 4.2197__6.3159, 5.2693__6.3233, 6.3162__6.3318, 7.3612__6.3409, 8.4048__6.3510, 9.4463__6.3624, 10.4843__6.3750, 11.5181__6.3885, 12.5467__6.4019, 13.5699__6.4119, 14.5954__6.4191, 15.6167__6.4265, 16.6297__6.4335, 17.6404__6.4402, 18.6446__6.4433, 19.6384__6.4386, 20.6219__6.4326, 21.5916__6.4163, 22.5603__6.3920, 23.5154__6.3657, 24.4719__6.3423, 25.4093__6.3196, 26.3478__6.2975, 27.2927__6.2768, 28.2301__6.2554, 29.1777__6.2396, 30.1218__6.2288, 31.0594__6.2181, 32.0000__6.2130, 
0.0000__5.2553, 1.0562__5.2560, 2.1107__5.2580, 3.1630__5.2614, 4.2138__5.2660, 5.2623__5.2717, 6.3085__5.2780, 7.3525__5.2850, 8.3950__5.2933, 9.4354__5.3028, 10.4732__5.3124, 11.5066__5.3216, 12.5340__5.3314, 13.5588__5.3421, 14.5855__5.3534, 15.6077__5.3641, 16.6196__5.3737, 17.6295__5.3829, 18.6359__5.3926, 19.6334__5.4009, 20.6236__5.3988, 21.6100__5.3839, 22.5845__5.3623, 23.5419__5.3352, 24.4939__5.3116, 25.4286__5.2908, 26.3679__5.2688, 27.3110__5.2492, 28.2506__5.2297, 29.1910__5.2113, 30.1310__5.2008, 31.0673__5.1938, 32.0000__5.1901, 
0.0000__4.2060, 1.0550__4.2066, 2.1084__4.2083, 3.1596__4.2107, 4.2092__4.2140, 5.2570__4.2181, 6.3028__4.2229, 7.3459__4.2282, 8.3871__4.2347, 9.4266__4.2425, 10.4642__4.2519, 11.4981__4.2628, 12.5259__4.2725, 13.5495__4.2802, 14.5740__4.2904, 15.5958__4.3035, 16.6089__4.3141, 17.6207__4.3206, 18.6251__4.3253, 19.6230__4.3278, 20.6212__4.3296, 21.6151__4.3307, 22.6003__4.3253, 23.5668__4.3071, 24.5162__4.2852, 25.4492__4.2604, 26.3908__4.2342, 27.3277__4.2125, 28.2691__4.1951, 29.2050__4.1810, 30.1397__4.1700, 31.0732__4.1633, 32.0000__4.1614, 
0.0000__3.1554, 1.0542__3.1558, 2.1068__3.1568, 3.1574__3.1584, 4.2061__3.1605, 5.2534__3.1633, 6.2986__3.1667, 7.3409__3.1708, 8.3810__3.1757, 9.4192__3.1817, 10.4548__3.1889, 11.4873__3.1972, 12.5161__3.2057, 13.5409__3.2131, 14.5627__3.2199, 15.5820__3.2284, 16.5972__3.2377, 17.6109__3.2481, 18.6182__3.2574, 19.6205__3.2618, 20.6193__3.2619, 21.6119__3.2599, 22.6059__3.2550, 23.5823__3.2451, 24.5305__3.2324, 25.4730__3.2100, 26.4127__3.1856, 27.3446__3.1665, 28.2832__3.1521, 29.2158__3.1412, 30.1482__3.1332, 31.0766__3.1292, 32.0000__3.1282, 
0.0000__2.1037, 1.0537__2.1038, 2.1059__2.1044, 3.1560__2.1053, 4.2043__2.1066, 5.2510__2.1083, 6.2956__2.1108, 7.3373__2.1137, 8.3767__2.1170, 9.4140__2.1208, 10.4487__2.1253, 11.4804__2.1303, 12.5090__2.1354, 13.5347__2.1401, 14.5566__2.1450, 15.5740__2.1511, 16.5881__2.1579, 17.5992__2.1652, 18.6075__2.1726, 19.6125__2.1796, 20.6142__2.1864, 21.6102__2.1896, 22.6077__2.1918, 23.5878__2.1921, 24.5475__2.1766, 25.4995__2.1495, 26.4341__2.1253, 27.3613__2.1064, 28.2918__2.0968, 29.2234__2.0926, 30.1519__2.0899, 31.0779__2.0896, 32.0000__2.0897, 
0.0000__1.0516, 1.0536__1.0517, 2.1054__1.0519, 3.1553__1.0524, 4.2033__1.0530, 5.2496__1.0540, 6.2936__1.0554, 7.3351__1.0569, 8.3743__1.0585, 9.4112__1.0603, 10.4455__1.0623, 11.4770__1.0646, 12.5059__1.0669, 13.5317__1.0692, 14.5530__1.0721, 15.5695__1.0753, 16.5830__1.0787, 17.5937__1.0823, 18.6013__1.0860, 19.6051__1.0897, 20.6055__1.0933, 21.6035__1.0964, 22.5977__1.1006, 23.5837__1.1018, 24.5542__1.1015, 25.5211__1.0920, 26.4584__1.0695, 27.3767__1.0526, 28.2968__1.0463, 29.2238__1.0467, 30.1525__1.0482, 31.0778__1.0477, 32.0000__1.0478, 
0.0000__0.0000, 1.0535__0.0000, 2.1053__0.0000, 3.1550__0.0000, 4.2030__0.0000, 5.2491__0.0000, 6.2929__0.0000, 7.3343__0.0000, 8.3735__0.0000, 9.4103__0.0000, 10.4445__0.0000, 11.4761__0.0000, 12.5050__0.0000, 13.5307__0.0000, 14.5516__0.0000, 15.5680__0.0000, 16.5813__0.0000, 17.5920__0.0000, 18.5996__0.0000, 19.6033__0.0000, 20.6036__0.0000, 21.6009__0.0000, 22.5937__0.0000, 23.5818__0.0000, 24.5486__0.0000, 25.5270__0.0000, 26.4712__0.0000, 27.3829__0.0000, 28.2990__0.0000, 29.2217__0.0000, 30.1525__0.0000, 31.0777__0.0000, 32.0000__0.0000
