0.0000__26.8126, 1.0716__26.6232, 2.5473__26.4310, 3.7755__26.5034, 5.0942__26.7012, 6.2985__26.5795, 7.5134__26.5255, 8.6268__26.4639, 9.8159__26.3351, 10.8573__26.1262, 11.9824__25.9041, 13.1283__25.7844, 14.2452__25.7953, 15.1918__25.4981, 16.1816__25.2952, 17.2945__25.4457, 17.9891__25.4402, 18.7212__25.2390, 19.6103__24.9127, 20.3866__24.9326, 21.1047__24.8023, 21.7370__24.7474, 22.1859__24.4691, 22.7183__23.4896, 24.4954__22.2355, 26.0550__22.2615, 27.1108__23.1888, 28.1885__23.7522, 28.7183__23.8461, 29.4762__23.7711, 30.1960__23.5419, 31.1297__23.4651, 32.0000__23.4636, 
0.0000__26.3894, 1.1198__25.9736, 2.5227__25.8827, 3.8102__26.0265, 5.0997__26.0716, 6.3896__26.0472, 7.5577__26.0404, 8.7336__25.8727, 9.8787__25.7984, 11.0449__25.6210, 12.0884__25.2675, 13.2454__25.2081, 14.3056__25.0585, 15.3013__24.7557, 16.4147__24.7123, 17.3990__24.9071, 18.2442__24.8322, 19.0236__24.5888, 19.8368__24.5017, 20.5152__24.3459, 21.1288__24.1533, 21.7114__23.9333, 22.2936__23.4948, 23.2654__21.9111, 24.8724__21.5597, 26.2268__22.1373, 27.0912__22.3398, 27.9450__22.8323, 28.7494__22.9434, 29.3675__22.8492, 30.3294__22.8602, 31.0734__22.8261, 32.0000__22.8895, 
0.0000__25.9052, 1.1714__25.5995, 2.5447__25.4831, 3.8414__25.5814, 5.1491__25.5603, 6.3575__25.4785, 7.6370__25.4670, 8.8274__25.2806, 9.8927__25.0624, 11.2208__24.9336, 12.2745__24.7635, 13.3705__24.5959, 14.4474__24.3448, 15.5022__24.0555, 16.6102__24.1586, 17.6288__24.2593, 18.4829__24.1353, 19.2798__24.0695, 20.0278__23.9986, 20.6072__23.7165, 21.2918__23.4411, 21.8329__23.1688, 22.3814__22.2991, 23.7186__21.1251, 25.1486__21.3263, 26.2872__21.6698, 27.0778__21.7240, 27.5585__21.4885, 28.6840__21.6205, 29.3318__21.7158, 30.1735__21.8393, 31.1004__22.0877, 32.0000__21.9927, 
0.0000__25.5593, 1.1985__25.1845, 2.5771__25.1720, 3.8277__25.1365, 5.1801__25.0136, 6.4295__24.8796, 7.6986__24.7550, 8.9077__24.6650, 10.0612__24.3271, 11.2856__24.3350, 12.5061__24.2504, 13.5602__24.0048, 14.6084__23.6096, 15.7181__23.4812, 16.8429__23.5312, 17.8406__23.5373, 18.7367__23.6041, 19.4974__23.5159, 20.1848__23.3766, 20.7895__22.9509, 21.4394__22.7616, 21.8866__21.9741, 23.0066__21.1504, 24.2195__20.8737, 25.3364__20.8973, 26.1840__20.9354, 26.9199__20.9193, 27.6207__20.5036, 28.4323__20.6357, 29.3661__20.8588, 29.9637__20.8032, 30.9232__20.7927, 32.0000__21.0032, 
0.0000__25.0851, 1.2435__24.8126, 2.5580__24.8107, 3.9588__24.7124, 5.1538__24.4383, 6.5710__24.1903, 7.7252__24.0674, 9.0277__23.9602, 10.2344__23.7613, 11.4262__23.6596, 12.6523__23.5309, 13.7553__23.3102, 14.8671__23.0310, 15.9724__22.8193, 17.0837__22.8494, 18.0269__22.9096, 18.9748__22.9673, 19.6935__22.8849, 20.3301__22.5899, 21.0222__22.2921, 21.4989__21.8719, 22.5094__21.0183, 23.4089__20.6159, 24.5756__20.4946, 25.4992__20.4133, 26.1827__20.2522, 26.8638__20.1280, 27.6986__19.8415, 28.3806__19.8691, 29.2400__19.9227, 29.8749__19.8549, 30.5782__19.4313, 32.0000__19.0665, 
0.0000__24.6655, 1.2171__24.4359, 2.6168__24.3804, 3.9589__24.1133, 5.3000__23.7975, 6.6301__23.6239, 7.9223__23.4608, 9.1013__23.3006, 10.4070__23.1230, 11.6210__22.9582, 12.8207__22.8168, 13.9299__22.5788, 15.1170__22.3616, 16.2888__22.2977, 17.2942__22.2794, 18.3060__22.2524, 19.1566__22.2906, 19.8777__22.1588, 20.5973__21.8231, 21.1935__21.5437, 22.0273__20.8605, 22.8381__20.4077, 23.8453__19.9972, 24.7301__19.7763, 25.6322__19.7853, 26.2833__19.6524, 26.9927__19.3329, 27.6721__19.0686, 28.4457__18.8721, 29.1729__18.8869, 29.6567__18.6983, 30.6439__17.7600, 32.0000__17.2164, 
0.0000__24.2549, 1.1944__23.9467, 2.6965__23.7863, 3.9638__23.5063, 5.4671__23.1468, 6.7555__23.0307, 8.0799__22.8968, 9.3291__22.6289, 10.5473__22.4104, 11.8156__22.2389, 13.0039__22.1380, 14.1802__21.8772, 15.3718__21.6774, 16.5220__21.6871, 17.5820__21.6683, 18.5584__21.7033, 19.3830__21.6660, 20.1281__21.3671, 20.8383__21.1155, 21.5750__20.6805, 22.3824__20.1463, 23.2769__19.7906, 24.1305__19.4086, 24.9861__19.1969, 25.7593__19.1034, 26.4105__18.7513, 27.1604__18.5681, 27.7778__18.2896, 28.5256__17.9706, 29.1187__18.0179, 29.7904__17.4430, 30.7047__16.7598, 32.0000__16.5526, 
0.0000__23.7825, 1.2382__23.3654, 2.6697__23.2733, 4.2243__22.7689, 5.5107__22.4955, 7.0035__22.4841, 8.2292__22.3153, 9.6054__22.0538, 10.7748__21.8420, 12.0430__21.6061, 13.2270__21.4191, 14.4180__21.1827, 15.6395__21.0676, 16.7502__21.0547, 17.8468__21.0313, 18.7320__21.0266, 19.6753__20.9583, 20.4047__20.6673, 21.1595__20.3664, 21.9355__19.8508, 22.7575__19.4910, 23.5919__19.0610, 24.4275__18.7184, 25.2278__18.4923, 25.9577__18.3374, 26.6385__18.0101, 27.2968__17.8163, 28.0145__17.4868, 28.6372__17.2805, 29.2720__17.0171, 30.0022__16.6042, 30.9029__16.2196, 32.0000__15.9643, 
0.0000__23.0384, 1.1272__22.6910, 2.7785__22.1232, 4.1268__21.9644, 5.9285__21.9232, 7.0718__21.8171, 8.5341__21.7509, 9.8176__21.5078, 11.0911__21.2123, 12.2839__20.9896, 13.4847__20.7615, 14.6639__20.4831, 15.8477__20.4140, 17.0017__20.3281, 18.0422__20.3062, 18.9086__20.0574, 19.8610__20.0063, 20.6885__19.8377, 21.4918__19.5311, 22.3207__19.1748, 23.1029__18.6933, 23.8148__18.1827, 24.7482__17.9880, 25.4834__17.8506, 26.2240__17.5835, 26.8682__17.2719, 27.5559__16.9797, 28.2059__16.7299, 28.8662__16.4779, 29.5356__16.2517, 30.1820__15.8156, 31.0458__15.4424, 32.0000__15.3751, 
0.0000__22.6339, 1.1545__21.7758, 2.8347__21.1262, 4.3096__20.6029, 5.9528__20.9912, 7.3563__21.2041, 8.5504__20.7266, 10.1331__20.7979, 11.3249__20.5684, 12.5817__20.4182, 13.7350__20.0748, 14.9086__19.8196, 16.0423__19.6125, 17.1987__19.4843, 18.1892__19.4205, 19.1878__19.2601, 20.0671__19.1115, 20.9556__18.9456, 21.7646__18.5850, 22.6403__18.2901, 23.3859__17.8903, 24.2178__17.4439, 24.9820__17.2278, 25.7634__17.0114, 26.4929__16.7856, 27.1683__16.5166, 27.8084__16.2085, 28.4790__15.9785, 29.1220__15.7235, 29.7386__15.4889, 30.4552__15.1393, 31.1470__14.8272, 32.0000__14.6811, 
