0.0000__18.7207, 1.5178__18.6138, 3.2077__18.4467, 4.5211__18.6811, 6.2982__18.8923, 7.6380__19.1735, 9.2346__19.3407, 10.0401__19.5577, 11.1276__19.8333, 12.0974__19.9334, 13.1897__19.9761, 13.5034__20.1221, 13.8478__20.4015, 14.7552__20.5191, 15.3767__20.9351, 16.0168__21.0458, 17.1006__21.2604, 17.9545__21.2812, 18.7167__21.4946, 19.2726__21.4795, 19.6108__21.5550, 20.3402__21.8162, 21.5403__21.7924, 22.3683__21.8619, 23.0903__21.8692, 23.9314__21.9979, 24.8938__22.2330, 25.7397__22.4200, 26.5041__22.6671, 27.4253__22.8512, 28.6283__22.9004, 29.8848__22.7000, 32.0000__22.2999, 
0.0000__18.2712, 1.5973__18.1406, 3.2422__18.0927, 4.5439__18.2237, 5.9079__18.4410, 7.4043__18.7190, 8.7368__18.9311, 9.8560__19.1614, 10.8823__19.3641, 12.1340__19.4440, 13.1096__19.6232, 13.8412__19.6697, 14.2078__19.7320, 14.7602__19.8677, 15.5081__19.8773, 15.8938__19.9849, 16.9246__20.2692, 17.9148__20.6242, 18.5386__20.7746, 19.2674__21.0550, 19.4282__21.1390, 20.2792__20.7616, 21.4405__20.7242, 22.1915__21.1207, 23.1834__21.2118, 23.6330__21.2090, 24.8111__21.1365, 25.5434__21.8369, 26.4532__22.1108, 27.2553__22.5701, 28.6296__22.6435, 29.7333__22.4999, 32.0000__22.2576, 
0.0000__17.9609, 1.6616__17.7156, 3.1012__17.7314, 4.2488__17.9953, 5.8736__18.0184, 7.2740__18.1893, 8.4180__18.4643, 9.6887__18.6970, 10.5626__18.8903, 12.1173__19.1120, 12.9180__19.1914, 13.9176__19.3403, 14.2583__19.4086, 15.1214__19.4492, 15.6604__19.5424, 15.9657__19.5276, 16.8592__19.6440, 17.4971__19.9624, 18.5685__20.1400, 19.0937__20.2212, 19.5223__20.2039, 20.1868__19.9377, 21.0600__20.0546, 22.1908__20.1014, 23.2155__20.1484, 23.4915__20.6928, 24.4626__20.5112, 25.1167__20.7613, 26.1996__21.4126, 27.0985__21.8466, 28.9567__22.2720, 29.7373__22.4417, 32.0000__21.7887, 
0.0000__17.3383, 1.6642__17.3249, 2.7158__17.4546, 4.1602__17.5594, 5.7309__17.6065, 7.1816__17.8115, 8.3780__18.0028, 9.5645__18.2765, 10.5602__18.3882, 11.6824__18.6564, 12.9294__18.9044, 13.5598__18.9561, 14.3072__19.0240, 15.2031__19.1164, 15.5654__19.1943, 16.1516__19.1276, 16.4353__19.1310, 17.3253__19.1148, 18.3101__19.1492, 19.2376__19.5283, 19.5470__19.5866, 20.1010__19.4019, 20.9018__19.0781, 22.2676__18.9987, 23.1281__19.2848, 23.4367__19.7384, 24.1056__19.8788, 24.7484__20.1890, 25.5888__20.1610, 27.2545__20.2883, 29.0036__20.6238, 30.4319__21.2645, 32.0000__21.1260, 
0.0000__16.8330, 1.4959__16.9727, 2.8185__16.9102, 4.0936__17.0019, 5.6342__17.1955, 7.0152__17.4146, 8.3465__17.6860, 9.6138__17.9535, 10.5893__18.0985, 11.4051__18.1440, 12.7147__18.4644, 13.4177__18.5797, 14.3574__18.6421, 15.1409__18.8992, 15.6117__18.8372, 16.1927__18.8815, 16.3410__18.4653, 17.2183__18.1091, 18.2786__18.0816, 19.2539__18.3571, 19.5429__18.8630, 20.2567__18.5487, 20.8901__18.3189, 21.9915__18.1210, 23.1055__18.2709, 23.2402__18.9685, 23.7686__19.0477, 24.5143__18.9082, 25.1314__19.4682, 26.3982__19.6069, 28.9254__19.0951, 30.5406__19.7948, 32.0000__19.9046, 
0.0000__16.5831, 1.4360__16.4760, 2.9043__16.5542, 3.9845__16.6201, 5.4289__16.7989, 6.7385__17.0330, 8.1636__17.3135, 9.3222__17.6444, 10.6286__17.8715, 11.4778__17.9229, 12.4078__18.0522, 13.4275__18.1709, 14.1444__18.3129, 14.9510__18.3463, 15.6105__18.3729, 15.9486__18.3818, 16.4139__17.7833, 17.3951__17.3228, 18.2712__17.2316, 19.1469__17.7016, 19.4478__17.8135, 20.2660__17.5652, 20.9839__17.5971, 21.8539__17.2844, 22.8961__17.4324, 23.2730__17.8890, 23.5481__18.1083, 24.0226__18.2019, 24.4646__18.2296, 26.6301__17.5055, 28.9584__17.5362, 30.4867__18.0907, 32.0000__18.2206, 
0.0000__15.9983, 1.5474__15.9632, 2.7630__16.0423, 3.7526__16.2591, 5.1382__16.2541, 6.4420__16.3691, 7.4971__16.7556, 8.6641__16.9104, 10.0517__17.2723, 11.2603__17.5336, 12.1732__17.5662, 13.2010__17.7938, 13.9848__17.7650, 14.8547__17.8748, 15.6306__18.0480, 16.0455__17.8119, 16.7130__17.2686, 17.5894__16.9646, 18.3885__16.9407, 19.0450__17.1131, 19.5136__17.2586, 20.1340__16.7531, 21.1506__16.6833, 21.7095__16.7955, 22.6873__16.7585, 23.1877__17.0610, 23.4280__17.4462, 23.5909__17.5391, 24.2438__17.0243, 25.7202__16.0684, 28.5379__15.6388, 30.3560__16.3283, 32.0000__16.5183, 
0.0000__15.3853, 1.7177__15.3827, 2.5938__15.6185, 3.4747__15.4861, 5.1619__15.4766, 6.0913__15.8702, 7.1874__16.0253, 8.1581__16.1384, 9.4337__16.4319, 10.8079__16.7690, 11.9080__17.0194, 12.7527__16.9841, 13.8400__17.0756, 14.6491__17.1675, 15.7329__17.4925, 16.1219__17.2147, 17.1235__16.7393, 17.6442__16.5978, 18.5133__16.6515, 18.9662__16.6540, 19.4459__16.4790, 20.3241__16.1256, 21.0538__15.9515, 21.8841__15.9125, 22.6452__15.7626, 23.3713__15.9421, 23.6413__16.2730, 23.9100__16.4279, 24.5918__16.2402, 25.2275__15.7266, 27.0738__14.5677, 30.1674__14.7605, 32.0000__14.8571, 
0.0000__14.3681, 1.7396__14.9734, 2.4256__15.2863, 3.7641__14.9172, 5.0099__15.1492, 6.1332__15.5393, 6.9536__15.5160, 7.9007__15.5742, 9.0084__15.5955, 10.4694__15.8814, 11.5497__16.1681, 12.6766__16.3242, 13.4607__16.3785, 14.6035__16.2702, 15.4661__16.3083, 16.3928__15.9207, 17.2027__16.2126, 17.9404__16.0764, 18.4393__15.7995, 19.0579__15.8405, 19.4787__15.3281, 20.3805__14.8334, 21.4024__14.6998, 22.2809__14.5331, 22.7589__14.4440, 23.3138__14.3950, 23.7615__14.6187, 24.7861__14.2867, 25.8187__13.9809, 26.5386__13.7765, 27.6199__13.0900, 29.7314__12.9776, 32.0000__13.6799, 
0.0000__13.7831, 1.5426__14.3559, 2.3873__14.6938, 3.7942__14.7739, 5.0722__14.9436, 6.1648__15.2292, 6.8032__15.2495, 7.7508__14.9251, 8.7591__14.6697, 10.2367__15.1100, 11.3141__15.4125, 12.4551__15.6382, 13.2893__15.3621, 14.4404__15.1329, 15.6763__15.4075, 16.6248__15.4088, 17.3261__15.2894, 18.0515__15.2188, 18.5276__15.2295, 19.1018__14.9439, 19.6926__14.2600, 20.4124__13.3887, 21.7182__13.0021, 22.4263__13.1748, 22.8560__13.4152, 23.1416__13.3093, 24.2745__12.5863, 25.3662__11.9813, 26.1446__11.5123, 26.9666__11.1118, 27.8374__11.1803, 29.6956__11.3946, 32.0000__11.0048, 
