0.0000__18.7868, 0.7199__18.8318, 1.4791__18.9268, 2.3098__19.0814, 3.1916__19.2094, 4.1682__19.2732, 5.1296__19.3234, 6.1343__19.4546, 7.1504__19.5161, 8.0256__19.4465, 8.9804__19.5094, 10.0443__19.6089, 11.0442__19.6968, 12.0545__19.8412, 12.9976__19.9428, 13.9914__20.0495, 14.9791__20.0654, 15.9506__20.1053, 16.9393__20.1255, 17.9292__20.1604, 18.9880__20.2200, 20.0244__20.2509, 21.0936__20.3252, 22.1639__20.3575, 23.2471__20.3650, 24.3702__20.4575, 25.4371__20.4821, 26.4771__20.4506, 27.6046__20.4531, 28.6780__20.4601, 29.7813__20.5029, 30.8746__20.5185, 32.0000__20.5235, 
0.0000__17.7828, 0.7181__17.7809, 1.4685__17.8404, 2.2891__17.9492, 3.1919__18.0316, 4.1201__18.1159, 5.0749__18.2070, 6.0245__18.2716, 7.0395__18.4064, 8.0570__18.5643, 8.9588__18.4899, 9.9229__18.5526, 10.9312__18.6870, 11.9147__18.7627, 12.9124__18.9615, 14.0098__19.0829, 15.0101__19.1079, 15.9982__19.0578, 16.9145__19.0146, 17.8699__19.0545, 18.9216__19.1182, 19.9554__19.1962, 21.0522__19.2322, 22.1077__19.2572, 23.1785__19.3386, 24.2840__19.3900, 25.4400__19.4668, 26.5261__19.4390, 27.5469__19.4165, 28.6775__19.4656, 29.7445__19.4391, 30.8747__19.4705, 32.0000__19.4733, 
0.0000__16.7505, 0.7439__16.7370, 1.4707__16.7357, 2.2998__16.8186, 3.1691__16.8939, 4.0600__16.8944, 4.9486__16.9660, 5.9269__17.1267, 6.8644__17.2516, 7.9311__17.3964, 8.9362__17.5267, 9.8423__17.5719, 10.8537__17.6259, 11.7970__17.7501, 12.8552__17.9023, 13.9787__17.9852, 15.0073__17.9952, 15.9737__17.9699, 16.8715__17.9880, 17.8140__17.9915, 18.8221__18.0757, 19.8973__18.1504, 20.9856__18.2109, 22.0523__18.2968, 23.1616__18.3246, 24.2518__18.3550, 25.3696__18.4001, 26.5498__18.4534, 27.5252__18.4612, 28.6818__18.4825, 29.7851__18.4682, 30.8465__18.4303, 32.0000__18.4785, 
0.0000__15.7233, 0.7471__15.7339, 1.5081__15.7563, 2.2996__15.7862, 3.1863__15.7531, 3.9917__15.7505, 4.8363__15.7661, 5.7344__15.9408, 6.7638__16.1604, 7.7782__16.3024, 8.7851__16.4449, 9.8590__16.5806, 10.7664__16.5929, 11.7103__16.6884, 12.8350__16.8013, 13.8452__16.8602, 14.9758__16.9626, 15.8938__16.9727, 16.8950__16.9936, 17.7582__16.9734, 18.7509__17.0751, 19.8726__17.1516, 20.9186__17.1971, 22.0381__17.2340, 23.1284__17.2722, 24.2200__17.3140, 25.3339__17.3465, 26.4678__17.4158, 27.5873__17.4459, 28.6539__17.4178, 29.8071__17.4549, 30.8693__17.4517, 32.0000__17.4040, 
0.0000__14.6716, 0.7453__14.6988, 1.5149__14.7901, 2.3584__14.7728, 3.1361__14.7147, 3.9710__14.7297, 4.7343__14.7460, 5.6472__14.8871, 6.5878__15.0023, 7.6540__15.2287, 8.6705__15.3407, 9.7040__15.4563, 10.7469__15.6055, 11.6719__15.5946, 12.6952__15.6916, 13.7576__15.8140, 14.8667__15.9116, 15.8842__15.9600, 16.8486__15.9591, 17.7234__16.0079, 18.7507__16.0667, 19.7917__16.1163, 20.9024__16.1699, 21.9858__16.1979, 23.0772__16.2403, 24.1926__16.2726, 25.2990__16.3041, 26.4172__16.3275, 27.5668__16.3649, 28.6569__16.3915, 29.7725__16.3892, 30.9118__16.3705, 32.0000__16.3692, 
0.0000__13.5854, 0.7157__13.6698, 1.5238__13.7540, 2.3592__13.7692, 3.1031__13.6885, 3.8883__13.7127, 4.6813__13.7945, 5.5778__13.8482, 6.4673__13.9432, 7.4534__14.0725, 8.5619__14.2825, 9.5520__14.3691, 10.6027__14.4387, 11.6268__14.6237, 12.6285__14.6721, 13.6632__14.7383, 14.7589__14.8582, 15.8291__14.9280, 16.7938__14.9600, 17.6735__14.9657, 18.7317__15.0946, 19.7995__15.1277, 20.8566__15.1434, 21.9615__15.2153, 23.0679__15.2258, 24.1604__15.2460, 25.2780__15.2572, 26.3680__15.2828, 27.5168__15.3334, 28.6296__15.3735, 29.8047__15.3732, 30.9015__15.3474, 32.0000__15.3468, 
0.0000__12.6277, 0.7239__12.6002, 1.4973__12.6146, 2.2820__12.6484, 3.0433__12.6992, 3.8396__12.8740, 4.7081__12.9125, 5.5289__12.9460, 6.4519__13.0077, 7.3684__13.0700, 8.3962__13.2303, 9.5060__13.3351, 10.3983__13.3613, 11.5175__13.5236, 12.5791__13.6468, 13.5942__13.7265, 14.6564__13.7857, 15.7111__13.8898, 16.7285__13.9619, 17.6777__14.0119, 18.6857__14.0162, 19.7772__14.0969, 20.8247__14.1369, 21.9395__14.1605, 23.0332__14.2091, 24.1495__14.2367, 25.2465__14.2574, 26.3425__14.2872, 27.4764__14.3278, 28.6306__14.3483, 29.7804__14.3661, 30.8950__14.3994, 32.0000__14.4018, 
0.0000__11.6731, 0.7525__11.6825, 1.4843__11.6702, 2.2464__11.6763, 2.9626__11.7485, 3.8368__11.9070, 4.7152__12.0626, 5.6081__12.1246, 6.4549__12.0253, 7.3376__12.1333, 8.3642__12.2563, 9.4173__12.3542, 10.4150__12.4210, 11.4104__12.4319, 12.4459__12.5581, 13.5317__12.6772, 14.5429__12.7788, 15.6660__12.9158, 16.7031__12.9712, 17.6869__12.9801, 18.6520__13.0218, 19.7140__13.0421, 20.7868__13.0892, 21.8961__13.1558, 23.0035__13.1827, 24.1234__13.2195, 25.2248__13.2532, 26.3314__13.2862, 27.4723__13.2956, 28.6120__13.3037, 29.7508__13.3336, 30.8865__13.3315, 32.0000__13.3320, 
0.0000__10.7719, 0.7495__10.7581, 1.4987__10.7508, 2.2344__10.7413, 2.9614__10.7389, 3.7624__10.8535, 4.6855__11.0753, 5.6864__11.1389, 6.3965__11.0395, 7.3532__11.1696, 8.3796__11.2898, 9.3974__11.3418, 10.4060__11.3557, 11.3335__11.4068, 12.3635__11.5177, 13.4619__11.6451, 14.4887__11.7046, 15.5481__11.7920, 16.6448__11.9243, 17.6799__12.0299, 18.7245__12.0330, 19.6852__12.0360, 20.7760__12.0938, 21.8738__12.1196, 22.9862__12.1582, 24.0866__12.1792, 25.1957__12.2216, 26.3279__12.2519, 27.4699__12.2558, 28.5766__12.2676, 29.7245__12.3050, 30.8820__12.3322, 32.0000__12.3235, 
0.0000__9.8613, 0.7556__9.8644, 1.5027__9.8549, 2.2545__9.8449, 3.0004__9.8266, 3.7360__9.7957, 4.5944__9.8639, 5.6007__10.0659, 6.4510__10.1300, 7.3747__10.1348, 8.3776__10.2040, 9.3589__10.2207, 10.3245__10.2985, 11.2975__10.3706, 12.3242__10.4443, 13.3640__10.5318, 14.4448__10.6607, 15.4913__10.7407, 16.5586__10.8240, 17.6347__10.8888, 18.6932__10.9901, 19.7180__11.0075, 20.7414__11.0079, 21.8400__11.0880, 22.9513__11.1188, 24.0612__11.1545, 25.1637__11.1770, 26.3095__11.2104, 27.4457__11.2426, 28.5700__11.2601, 29.6977__11.2741, 30.8629__11.2995, 32.0000__11.3191, 
