0.0000__22.9621, 0.9884__22.9580, 2.0751__22.9128, 3.1122__22.9275, 4.1707__22.9413, 5.2192__22.8840, 6.2700__22.8463, 7.3199__22.8235, 8.3668__22.7750, 9.3804__22.6911, 10.4211__22.6251, 11.4750__22.5787, 12.4914__22.5544, 13.5061__22.4660, 14.5415__22.3670, 15.6097__22.3470, 16.5711__22.3024, 17.5413__22.2235, 18.5087__22.1650, 19.4435__22.1250, 20.3631__22.0584, 21.2728__22.0270, 22.1457__21.9328, 22.9743__21.7660, 24.2191__21.4878, 25.3885__21.4342, 26.3823__21.6704, 27.3636__21.7650, 28.2265__21.8129, 29.1690__21.8255, 30.1093__21.8099, 31.0710__21.8213, 32.0000__21.8186, 
0.0000__22.1922, 0.9848__22.1185, 2.0644__22.1004, 3.1153__22.1055, 4.1873__22.0751, 5.2548__22.0761, 6.3061__22.0383, 7.3608__21.9859, 8.4146__21.9526, 9.4580__21.8921, 10.4754__21.7770, 11.5133__21.7267, 12.5387__21.6591, 13.5761__21.5743, 14.6357__21.5087, 15.6630__21.4721, 16.6527__21.4210, 17.6197__21.3459, 18.5674__21.2884, 19.5010__21.2197, 20.4234__21.1596, 21.3384__21.0609, 22.2270__20.9940, 23.1893__20.7372, 24.3773__20.6093, 25.3492__20.7001, 26.3035__20.6975, 27.2494__20.8170, 28.2275__20.8653, 29.1304__20.8670, 30.1248__20.9059, 31.0508__20.9195, 32.0000__20.9531, 
0.0000__21.4141, 1.0003__21.3794, 2.0507__21.3222, 3.1223__21.3040, 4.2022__21.2711, 5.2738__21.2447, 6.3546__21.2170, 7.4097__21.1554, 8.4525__21.0832, 9.5441__21.0345, 10.5517__20.9711, 11.5673__20.8700, 12.6117__20.7873, 13.6476__20.6974, 14.7065__20.6344, 15.7317__20.5950, 16.7313__20.5331, 17.6914__20.4786, 18.6425__20.4095, 19.5676__20.3343, 20.5085__20.2392, 21.4141__20.1698, 22.3499__20.0018, 23.3966__19.8473, 24.3654__19.8366, 25.3564__19.8156, 26.2712__19.8288, 27.1572__19.7707, 28.2130__19.8121, 29.1083__19.8492, 30.0577__19.9057, 31.0343__20.0074, 32.0000__20.0023, 
0.0000__20.6913, 1.0010__20.6376, 2.0704__20.5847, 3.1203__20.5207, 4.2366__20.4718, 5.3097__20.4225, 6.3938__20.3683, 7.4667__20.3202, 8.5319__20.2218, 9.6013__20.2029, 10.6392__20.1441, 11.6510__20.0286, 12.6873__19.9231, 13.7288__19.8353, 14.7738__19.7681, 15.8065__19.7086, 16.8074__19.6705, 17.7629__19.5975, 18.7213__19.5264, 19.6493__19.4233, 20.5969__19.3507, 21.4982__19.2037, 22.5224__19.1017, 23.4711__19.0430, 24.4303__18.9558, 25.3569__18.9169, 26.2802__18.8804, 27.2015__18.8285, 28.1451__18.8152, 29.0989__18.8761, 29.9570__18.8988, 30.9413__18.9618, 32.0000__19.0560, 
0.0000__19.9393, 1.0163__19.9042, 2.0688__19.8469, 3.1717__19.7651, 4.2535__19.6787, 5.3815__19.6098, 6.4312__19.5304, 7.5387__19.4682, 8.6073__19.3993, 9.6632__19.3384, 10.7222__19.2793, 11.7430__19.1806, 12.7792__19.0839, 13.8109__18.9739, 14.8536__18.8881, 15.8766__18.8322, 16.8740__18.7759, 17.8447__18.6990, 18.7946__18.6180, 19.7548__18.5317, 20.6693__18.4350, 21.6513__18.3293, 22.5809__18.2383, 23.5665__18.1675, 24.5045__18.0933, 25.4094__18.0088, 26.3071__17.9572, 27.2441__17.9105, 28.1367__17.8797, 29.0567__17.8766, 29.9185__17.8824, 30.7971__17.8521, 32.0000__17.8048, 
0.0000__19.2065, 1.0175__19.1638, 2.1006__19.0714, 3.2116__18.9779, 4.3202__18.8906, 5.4413__18.8260, 6.5178__18.7305, 7.5991__18.6429, 8.6846__18.5704, 9.7475__18.4830, 10.8014__18.4147, 11.8371__18.3290, 12.8715__18.2284, 13.9118__18.1290, 14.9417__18.0402, 15.9596__17.9553, 16.9528__17.8804, 17.9277__17.8006, 18.8915__17.7098, 19.8336__17.6286, 20.7808__17.5226, 21.7221__17.4225, 22.6737__17.3194, 23.6324__17.2237, 24.5868__17.1777, 25.4665__17.1243, 26.3768__17.0241, 27.2710__16.9572, 28.1686__16.9052, 29.0668__16.8609, 29.8910__16.8130, 30.8561__16.6293, 32.0000__16.4871, 
0.0000__18.4584, 1.0253__18.3919, 2.1568__18.2807, 3.2445__18.2039, 4.4232__18.1134, 5.5045__18.0476, 6.6213__17.9450, 7.6819__17.8275, 8.7634__17.7207, 9.8351__17.6351, 10.8907__17.5678, 11.9331__17.4687, 12.9650__17.3686, 14.0084__17.2716, 15.0378__17.1782, 16.0539__17.0933, 17.0507__17.0023, 18.0256__16.9019, 18.9842__16.8173, 19.9296__16.7173, 20.8770__16.6165, 21.8176__16.5174, 22.7770__16.4055, 23.7299__16.3267, 24.6486__16.2672, 25.5395__16.1704, 26.4597__16.1064, 27.3339__16.0260, 28.2332__15.9414, 29.0962__15.8954, 29.9887__15.7752, 30.9591__15.6474, 32.0000__15.6131, 
0.0000__17.7179, 1.0531__17.6330, 2.1653__17.5688, 3.3893__17.4399, 4.4594__17.3311, 5.6399__17.2660, 6.6952__17.1493, 7.8083__17.0465, 8.8544__16.9117, 9.9321__16.8044, 10.9859__16.7036, 12.0271__16.6098, 13.0654__16.4971, 14.0989__16.3967, 15.1378__16.3059, 16.1382__16.2025, 17.1659__16.1204, 18.1298__16.0231, 19.0862__15.9133, 20.0307__15.8056, 20.9663__15.7001, 21.9176__15.5871, 22.8785__15.4982, 23.8171__15.4157, 24.7298__15.3385, 25.6312__15.2488, 26.5252__15.1690, 27.4254__15.0990, 28.2969__15.0351, 29.1791__14.9361, 30.0827__14.8579, 31.0160__14.7935, 32.0000__14.7490, 
0.0000__16.9022, 1.0262__16.8380, 2.2608__16.6319, 3.4020__16.6416, 4.6643__16.5775, 5.6816__16.4219, 6.8332__16.3616, 7.9153__16.2247, 8.9774__16.0900, 10.0315__15.9532, 11.0896__15.8546, 12.1278__15.7361, 13.1607__15.6242, 14.1956__15.5070, 15.2358__15.4026, 16.2323__15.2707, 17.2583__15.1984, 18.2355__15.1131, 19.1975__15.0167, 20.1380__14.9055, 21.0745__14.7765, 22.0120__14.6591, 22.9750__14.5713, 23.9074__14.4912, 24.8189__14.4058, 25.7161__14.3164, 26.6087__14.2345, 27.4905__14.1584, 28.3742__14.0767, 29.2624__14.0119, 30.1395__13.9341, 31.0619__13.8682, 32.0000__13.8540, 
0.0000__16.2182, 1.0472__15.9628, 2.3319__15.7752, 3.4809__15.5823, 4.7483__15.6425, 5.8484__15.6365, 6.8870__15.3893, 8.0623__15.3802, 9.0854__15.2388, 10.1539__15.1191, 11.1976__14.9822, 12.2321__14.8662, 13.2581__14.7183, 14.3052__14.5783, 15.3308__14.4835, 16.3638__14.3654, 17.3492__14.2655, 18.3382__14.1744, 19.2894__14.0731, 20.2505__13.9722, 21.1834__13.8626, 22.1224__13.7345, 23.0658__13.6354, 24.0033__13.5495, 24.9090__13.4598, 25.8042__13.3728, 26.6841__13.2868, 27.5731__13.2048, 28.4490__13.1287, 29.3252__13.0599, 30.2047__13.0010, 31.0906__12.9566, 32.0000__12.9355, 
0.0000__15.3708, 1.1714__15.1649, 2.3498__14.9636, 3.7545__14.8293, 4.7249__14.6671, 6.0183__14.6283, 7.0210__14.5049, 8.1225__14.4554, 9.2436__14.4148, 10.2818__14.2324, 11.3054__14.1101, 12.3403__13.9555, 13.3857__13.7959, 14.4157__13.6691, 15.4582__13.5455, 16.4778__13.4508, 17.4813__13.3610, 18.4414__13.2508, 19.4091__13.1407, 20.3529__13.0330, 21.2920__12.9147, 22.2291__12.7964, 23.1671__12.6872, 24.1005__12.5973, 25.0069__12.5070, 25.8911__12.4128, 26.7679__12.3134, 27.6520__12.2339, 28.5198__12.1633, 29.3890__12.1062, 30.2505__12.0561, 31.1182__12.0166, 32.0000__12.0047, 
0.0000__13.8859, 1.2005__13.7988, 2.4789__13.6910, 3.7957__13.8784, 5.0653__13.9061, 6.0230__13.7848, 7.1976__13.6777, 8.1992__13.5123, 9.3591__13.4033, 10.4055__13.3827, 11.4361__13.2084, 12.4626__13.0303, 13.5292__12.8984, 14.5545__12.7443, 15.5925__12.6382, 16.6037__12.5375, 17.5936__12.4405, 18.5742__12.3318, 19.5230__12.2137, 20.4752__12.1049, 21.4105__11.9787, 22.3402__11.8503, 23.2786__11.7366, 24.2053__11.6380, 25.1056__11.5451, 25.9896__11.4498, 26.8664__11.3507, 27.7331__11.2683, 28.5903__11.1956, 29.4435__11.1367, 30.2874__11.0950, 31.1447__11.0635, 32.0000__11.0454, 
0.0000__12.4814, 1.2470__12.4434, 2.5461__12.4255, 3.8469__12.5758, 5.1459__12.9383, 6.2745__13.0126, 7.2164__12.7591, 8.4002__12.6386, 9.4633__12.6064, 10.5527__12.4896, 11.5720__12.3249, 12.6370__12.1290, 13.6686__11.9786, 14.7099__11.8647, 15.7384__11.7478, 16.7262__11.6398, 17.7276__11.5256, 18.6900__11.4150, 19.6602__11.2986, 20.5904__11.1580, 21.5316__11.0370, 22.4666__10.9018, 23.3969__10.7769, 24.3133__10.6776, 25.2118__10.5725, 26.0876__10.4641, 26.9600__10.3734, 27.8164__10.2896, 28.6605__10.2126, 29.4963__10.1533, 30.3227__10.0967, 31.1629__10.0671, 32.0000__10.0687, 
0.0000__11.1221, 1.2763__11.1307, 2.5690__11.1275, 3.8693__11.2980, 5.0766__11.4931, 6.3388__11.8479, 7.3837__11.8094, 8.3709__11.6589, 9.5950__11.7104, 10.6590__11.6128, 11.7804__11.4153, 12.7928__11.2444, 13.8415__11.1197, 14.8674__10.9473, 15.8591__10.8499, 16.8535__10.7271, 17.8058__10.6292, 18.8576__10.5168, 19.7763__10.3564, 20.7235__10.2337, 21.6581__10.0778, 22.6057__9.9504, 23.5197__9.8317, 24.4364__9.7112, 25.3227__9.5986, 26.2031__9.4914, 27.0560__9.3804, 27.9018__9.2905, 28.7342__9.2134, 29.5517__9.1489, 30.3704__9.0983, 31.1717__9.0631, 32.0000__9.0480, 
0.0000__9.7938, 1.2637__9.7998, 2.5419__9.8404, 3.7975__9.9212, 5.0357__10.1148, 6.1503__10.3061, 7.3646__10.4937, 8.3311__10.3526, 9.4758__10.2202, 10.6561__10.2238, 11.8575__10.3612, 12.9461__10.3070, 14.0133__10.1482, 14.9731__10.0730, 15.9900__9.9336, 16.9326__9.7508, 17.8673__9.5004, 18.9067__9.4738, 19.9067__9.4268, 20.8537__9.2625, 21.8104__9.1290, 22.7270__8.9997, 23.6560__8.8648, 24.5481__8.7357, 25.4428__8.6089, 26.3210__8.4841, 27.1615__8.3754, 27.9917__8.2751, 28.8090__8.1932, 29.6152__8.1233, 30.4067__8.0757, 31.1981__8.0359, 32.0000__8.0149, 
0.0000__8.4453, 1.2429__8.4578, 2.4803__8.4921, 3.7174__8.5647, 4.9129__8.6570, 6.0932__8.8207, 7.1334__8.9206, 8.2747__8.7904, 9.4089__8.8061, 10.6019__8.8121, 11.7193__8.8347, 12.9483__8.9561, 14.0353__9.1431, 14.9911__8.9696, 16.0364__8.8479, 17.0516__8.7097, 18.0482__8.5939, 18.9600__8.4276, 19.8954__8.3148, 20.9880__8.2982, 21.9255__8.1721, 22.8807__8.0203, 23.7659__7.8675, 24.6522__7.7174, 25.5847__7.5836, 26.4441__7.4666, 27.2771__7.3452, 28.0834__7.2344, 28.8901__7.1445, 29.6789__7.0729, 30.4488__7.0123, 31.2220__6.9726, 32.0000__6.9626, 
0.0000__7.0764, 1.2198__7.0858, 2.4362__7.1157, 3.6388__7.1625, 4.8306__7.2334, 5.9745__7.3036, 7.1143__7.3552, 8.2296__7.3479, 9.4089__7.3487, 10.5579__7.3715, 11.7496__7.3941, 12.8191__7.4514, 13.8148__7.3897, 14.8385__7.3599, 15.9630__7.4085, 17.1785__7.4968, 18.0979__7.4496, 19.0355__7.3780, 19.9026__7.1311, 20.9198__7.0041, 22.0182__7.0120, 22.9125__6.9500, 23.8598__6.8594, 24.8376__6.6599, 25.7049__6.5201, 26.5669__6.4190, 27.3997__6.3064, 28.1963__6.1767, 28.9834__6.0676, 29.7424__5.9871, 30.5062__5.9294, 31.2420__5.8847, 32.0000__5.8691, 
0.0000__5.6852, 1.2030__5.6922, 2.4014__5.7129, 3.5920__5.7463, 4.7667__5.7871, 5.9313__5.8308, 7.0773__5.8613, 8.2366__5.8863, 9.3885__5.9050, 10.5905__5.9550, 11.7914__6.1206, 12.9201__6.2923, 13.9588__6.3289, 14.9238__6.2035, 16.0146__6.2240, 17.2287__6.4574, 18.1688__6.4461, 19.0585__6.1915, 20.1039__6.0415, 21.0496__5.8989, 22.0531__5.8849, 22.8597__5.7225, 23.9289__5.5404, 24.9747__5.5702, 25.8539__5.4893, 26.6675__5.3359, 27.5175__5.2168, 28.3282__5.0921, 29.0867__4.9819, 29.8281__4.8795, 30.5539__4.8145, 31.2725__4.7741, 32.0000__4.7528, 
0.0000__4.2771, 1.1911__4.2818, 2.3788__4.2954, 3.5600__4.3166, 4.7327__4.3428, 5.8958__4.3701, 7.0543__4.3980, 8.2067__4.4239, 9.3710__4.4592, 10.5295__4.5331, 11.6614__4.6325, 12.7731__4.7325, 13.8686__4.8411, 14.8867__4.8857, 15.8557__4.8328, 16.9202__4.8501, 17.9695__4.8311, 19.0902__4.8462, 20.1532__4.8352, 21.1920__4.8324, 22.0631__4.6749, 23.0565__4.5093, 24.0059__4.5027, 25.0082__4.4691, 25.9883__4.3816, 26.7995__4.2199, 27.6228__4.0714, 28.4461__3.9636, 29.2132__3.8378, 29.9101__3.7339, 30.6091__3.6676, 31.3031__3.6147, 32.0000__3.6023, 
0.0000__2.8573, 1.1836__2.8601, 2.3646__2.8683, 3.5406__2.8809, 4.7104__2.8968, 5.8729__2.9149, 7.0285__2.9346, 8.1790__2.9584, 9.3200__2.9932, 10.4452__3.0396, 11.5521__3.0967, 12.6303__3.1680, 13.6679__3.2186, 14.6999__3.2057, 15.7700__3.2177, 16.8079__3.2405, 17.8696__3.2595, 18.9149__3.2802, 20.0180__3.3333, 21.0572__3.3901, 22.0874__3.4143, 22.9858__3.3664, 23.9492__3.1899, 25.0189__3.0903, 25.9292__3.1397, 26.8257__3.1542, 27.7732__3.0143, 28.6398__2.7973, 29.3324__2.6551, 30.0000__2.5549, 30.6741__2.4718, 31.3321__2.4322, 32.0000__2.4160, 
0.0000__1.4303, 1.1795__1.4317, 2.3567__1.4354, 3.5300__1.4415, 4.6974__1.4491, 5.8584__1.4581, 7.0116__1.4688, 8.1559__1.4825, 9.2878__1.4999, 10.4061__1.5225, 11.5044__1.5511, 12.5803__1.5771, 13.6425__1.5922, 14.7004__1.6072, 15.7406__1.6131, 16.7928__1.6226, 17.8206__1.6381, 18.8552__1.6663, 19.8439__1.6983, 20.8414__1.7130, 21.8066__1.6949, 22.8427__1.6317, 23.9303__1.6600, 24.9048__1.7302, 25.7355__1.6299, 26.5891__1.4686, 27.7086__1.5005, 28.6991__1.5631, 29.4531__1.4543, 30.1173__1.3214, 30.7409__1.2540, 31.3671__1.2117, 32.0000__1.1986, 
0.0000__0.0000, 1.1781__0.0000, 2.3543__0.0000, 3.5264__0.0000, 4.6934__0.0000, 5.8533__0.0000, 7.0055__0.0000, 8.1475__0.0000, 9.2781__0.0000, 10.3924__0.0000, 11.4897__0.0000, 12.5711__0.0000, 13.6376__0.0000, 14.6896__0.0000, 15.7437__0.0000, 16.7782__0.0000, 17.8178__0.0000, 18.8277__0.0000, 19.8420__0.0000, 20.8258__0.0000, 21.8379__0.0000, 22.8324__0.0000, 23.7950__0.0000, 24.8158__0.0000, 25.9097__0.0000, 26.6458__0.0000, 27.5669__0.0000, 28.5720__0.0000, 29.5213__0.0000, 30.1660__0.0000, 30.7804__0.0000, 31.3876__0.0000, 32.0000__0.0000
