State,GDP,Color
British Columbia,282204,#1b7837
Alberta,331937,#ff7f00
Saskatchewan,79513,#1f78b4
Manitoba,71019,#fb8072
Ontario,825805,#023858
Quebec,417173,#cc3333
New Brunswick,36088,#238b45
Prince Edward island,6652,#cab2d6
Nova Scotia,42715,#ffa07a
Newfoundland and Labrador,33074,#41b6c4
Yukon,2895,#d73027
Northwest Territories,4856,#762a83
Nunavut,2846,#8c510a
