0.0000__21.0945, 0.9963__21.0957, 1.9957__21.0976, 2.9952__21.0989, 3.9958__21.0993, 4.9960__21.0980, 5.9958__21.0955, 6.9957__21.0922, 7.9961__21.0882, 8.9969__21.0839, 9.9976__21.0793, 10.9982__21.0743, 11.9980__21.0688, 12.9978__21.0627, 13.9968__21.0571, 14.9964__21.0530, 15.9946__21.0491, 16.9936__21.0449, 17.9917__21.0411, 18.9893__21.0380, 19.9881__21.0352, 20.9868__21.0325, 21.9844__21.0291, 22.9834__21.0245, 23.9914__21.0181, 25.0003__21.0150, 26.0033__21.0178, 27.0036__21.0216, 28.0021__21.0238, 29.0011__21.0247, 30.0008__21.0251, 31.0004__21.0253, 32.0000__21.0253, 
0.0000__20.0980, 0.9931__20.1000, 1.9937__20.1034, 2.9945__20.1046, 3.9965__20.1041, 4.9979__20.1029, 5.9986__20.1007, 6.9993__20.0975, 8.0001__20.0938, 9.0012__20.0897, 10.0023__20.0853, 11.0033__20.0806, 12.0039__20.0752, 13.0034__20.0700, 14.0015__20.0654, 15.0005__20.0608, 15.9992__20.0560, 16.9980__20.0511, 17.9956__20.0466, 18.9925__20.0427, 19.9912__20.0393, 20.9902__20.0358, 21.9890__20.0315, 22.9898__20.0251, 23.9961__20.0199, 24.9997__20.0187, 26.0002__20.0196, 27.0001__20.0222, 28.0010__20.0243, 28.9999__20.0253, 29.9999__20.0270, 30.9998__20.0285, 32.0000__20.0292, 
0.0000__19.1100, 0.9900__19.1105, 1.9917__19.1116, 2.9946__19.1121, 3.9977__19.1111, 4.9998__19.1092, 6.0014__19.1067, 7.0027__19.1035, 8.0039__19.0999, 9.0055__19.0958, 10.0068__19.0913, 11.0080__19.0867, 12.0091__19.0822, 13.0080__19.0778, 14.0064__19.0729, 15.0052__19.0679, 16.0040__19.0633, 17.0030__19.0584, 18.0004__19.0531, 18.9964__19.0481, 19.9949__19.0437, 20.9943__19.0395, 21.9947__19.0342, 22.9960__19.0284, 23.9984__19.0248, 25.0002__19.0234, 25.9998__19.0225, 26.9984__19.0221, 28.0000__19.0228, 28.9984__19.0241, 29.9971__19.0267, 30.9979__19.0302, 32.0000__19.0316, 
0.0000__18.1232, 0.9896__18.1223, 1.9911__18.1215, 2.9950__18.1209, 3.9997__18.1192, 5.0025__18.1162, 6.0042__18.1131, 7.0062__18.1100, 8.0079__18.1061, 9.0099__18.1019, 10.0114__18.0974, 11.0125__18.0928, 12.0134__18.0887, 13.0126__18.0842, 14.0117__18.0790, 15.0099__18.0739, 16.0086__18.0692, 17.0080__18.0645, 18.0058__18.0596, 19.0016__18.0540, 19.9996__18.0484, 20.9992__18.0430, 22.0000__18.0380, 23.0005__18.0336, 24.0010__18.0298, 25.0017__18.0273, 26.0010__18.0256, 26.9994__18.0238, 27.9988__18.0235, 28.9970__18.0246, 29.9937__18.0264, 30.9943__18.0300, 32.0000__18.0323, 
0.0000__17.1414, 0.9910__17.1397, 1.9923__17.1366, 2.9973__17.1332, 4.0028__17.1293, 5.0063__17.1255, 6.0074__17.1215, 7.0101__17.1174, 8.0121__17.1130, 9.0144__17.1083, 10.0162__17.1034, 11.0169__17.0987, 12.0175__17.0944, 13.0175__17.0899, 14.0171__17.0850, 15.0149__17.0797, 16.0134__17.0745, 17.0126__17.0698, 18.0111__17.0649, 19.0075__17.0593, 20.0053__17.0532, 21.0047__17.0475, 22.0045__17.0425, 23.0047__17.0382, 24.0046__17.0342, 25.0040__17.0310, 26.0029__17.0286, 27.0010__17.0267, 27.9988__17.0254, 28.9965__17.0248, 29.9920__17.0247, 30.9917__17.0251, 32.0000__17.0253, 
0.0000__16.1600, 0.9946__16.1571, 1.9968__16.1509, 3.0020__16.1449, 4.0071__16.1399, 5.0105__16.1356, 6.0120__16.1307, 7.0146__16.1254, 8.0171__16.1201, 9.0194__16.1148, 10.0212__16.1097, 11.0218__16.1045, 12.0218__16.0997, 13.0222__16.0952, 14.0221__16.0906, 15.0203__16.0855, 16.0186__16.0799, 17.0176__16.0744, 18.0164__16.0690, 19.0135__16.0633, 20.0113__16.0572, 21.0102__16.0513, 22.0093__16.0459, 23.0089__16.0412, 24.0082__16.0373, 25.0068__16.0342, 26.0053__16.0313, 27.0030__16.0288, 28.0005__16.0264, 28.9978__16.0241, 29.9937__16.0214, 30.9937__16.0173, 32.0000__16.0150, 
0.0000__15.1682, 0.9993__15.1661, 2.0029__15.1611, 3.0079__15.1552, 4.0120__15.1495, 5.0152__15.1444, 6.0178__15.1386, 7.0202__15.1325, 8.0226__15.1266, 9.0249__15.1210, 10.0264__15.1157, 11.0271__15.1104, 12.0264__15.1053, 13.0268__15.1005, 14.0268__15.0956, 15.0257__15.0905, 16.0246__15.0846, 17.0234__15.0783, 18.0220__15.0724, 19.0195__15.0666, 20.0173__15.0606, 21.0157__15.0549, 22.0145__15.0495, 23.0133__15.0447, 24.0119__15.0404, 25.0101__15.0366, 26.0083__15.0333, 27.0058__15.0302, 28.0032__15.0272, 29.0004__15.0245, 29.9976__15.0212, 30.9975__15.0175, 32.0000__15.0159, 
0.0000__14.1757, 1.0016__14.1753, 2.0080__14.1725, 3.0147__14.1663, 4.0175__14.1595, 5.0212__14.1530, 6.0241__14.1463, 7.0264__14.1400, 8.0285__14.1338, 9.0304__14.1280, 10.0317__14.1224, 11.0324__14.1172, 12.0317__14.1117, 13.0321__14.1058, 14.0321__14.1001, 15.0313__14.0942, 16.0310__14.0880, 17.0296__14.0816, 18.0278__14.0756, 19.0255__14.0697, 20.0232__14.0638, 21.0212__14.0580, 22.0197__14.0526, 23.0180__14.0476, 24.0161__14.0431, 25.0138__14.0390, 26.0116__14.0352, 27.0090__14.0320, 28.0061__14.0290, 29.0031__14.0262, 30.0007__14.0236, 30.9996__14.0217, 32.0000__14.0210, 
0.0000__13.1864, 1.0025__13.1849, 2.0123__13.1815, 3.0208__13.1779, 4.0254__13.1711, 5.0288__13.1617, 6.0310__13.1538, 7.0329__13.1467, 8.0347__13.1403, 9.0362__13.1341, 10.0373__13.1283, 11.0378__13.1226, 12.0377__13.1167, 13.0382__13.1103, 14.0384__13.1037, 15.0376__13.0969, 16.0373__13.0906, 17.0358__13.0846, 18.0338__13.0785, 19.0315__13.0725, 20.0291__13.0665, 21.0269__13.0606, 22.0249__13.0552, 23.0228__13.0503, 24.0204__13.0457, 25.0179__13.0414, 26.0152__13.0375, 27.0121__13.0341, 28.0090__13.0310, 29.0058__13.0282, 30.0029__13.0256, 31.0008__13.0239, 32.0000__13.0233, 
0.0000__12.1940, 1.0060__12.1911, 2.0166__12.1858, 3.0256__12.1800, 4.0329__12.1745, 5.0376__12.1682, 6.0388__12.1600, 7.0397__12.1525, 8.0410__12.1460, 9.0423__12.1398, 10.0431__12.1337, 11.0438__12.1276, 12.0442__12.1208, 13.0449__12.1138, 14.0452__12.1070, 15.0445__12.1001, 16.0434__12.0934, 17.0419__12.0873, 18.0398__12.0812, 19.0375__12.0751, 20.0351__12.0690, 21.0326__12.0631, 22.0301__12.0577, 23.0276__12.0526, 24.0249__12.0478, 25.0220__12.0434, 26.0188__12.0395, 27.0154__12.0360, 28.0119__12.0328, 29.0085__12.0301, 30.0051__12.0278, 31.0021__12.0259, 32.0000__12.0252, 
