0.0000__21.1579, 1.0026__21.1497, 2.0064__21.1318, 2.9879__21.0964, 3.9642__21.0560, 4.9113__21.0274, 5.8563__21.0041, 6.8044__20.9589, 7.7203__20.8949, 8.6722__20.8604, 9.6570__20.8533, 10.6543__20.8476, 11.6579__20.8474, 12.6478__20.8530, 13.6619__20.8462, 14.6786__20.8367, 15.6929__20.8227, 16.6997__20.8119, 17.7149__20.8002, 18.7498__20.7917, 19.7758__20.7887, 20.7602__20.7790, 21.7861__20.7653, 22.8199__20.7559, 23.8570__20.7535, 24.8923__20.7510, 25.9221__20.7506, 26.9489__20.7546, 27.9703__20.7592, 28.9836__20.7618, 29.9956__20.7674, 31.0015__20.7707, 32.0000__20.7695, 
0.0000__20.2015, 1.0187__20.1937, 2.0291__20.1757, 3.0208__20.1598, 3.9901__20.1445, 4.9378__20.1238, 5.8923__20.0832, 6.8482__20.0518, 7.7891__20.0045, 8.7047__19.9307, 9.6594__19.8941, 10.6637__19.8805, 11.6495__19.8745, 12.6583__19.8710, 13.6735__19.8605, 14.6958__19.8440, 15.7085__19.8257, 16.7173__19.8052, 17.7281__19.7882, 18.7554__19.7790, 19.7784__19.7752, 20.7896__19.7577, 21.8030__19.7292, 22.8208__19.7240, 23.8598__19.7241, 24.8943__19.7199, 25.9240__19.7147, 26.9436__19.7137, 27.9638__19.7189, 28.9775__19.7261, 29.9872__19.7336, 30.9973__19.7409, 32.0000__19.7452, 
0.0000__19.2315, 1.0313__19.2275, 2.0430__19.2220, 3.0359__19.2132, 4.0025__19.2046, 4.9621__19.1931, 5.9347__19.1707, 6.8821__19.1309, 7.8480__19.0919, 8.7715__19.0429, 9.7037__18.9646, 10.6716__18.9169, 11.6564__18.9039, 12.6715__18.8891, 13.6930__18.8696, 14.7207__18.8432, 15.7311__18.8130, 16.7386__18.7861, 17.7387__18.7686, 18.7626__18.7609, 19.7882__18.7496, 20.8151__18.7287, 21.8130__18.7169, 22.8294__18.7061, 23.8656__18.6963, 24.9044__18.6819, 25.9191__18.6783, 26.9416__18.6877, 27.9620__18.6842, 28.9697__18.6851, 29.9789__18.6937, 30.9877__18.7038, 32.0000__18.7088, 
0.0000__18.2691, 1.0397__18.2666, 2.0478__18.2616, 3.0497__18.2577, 4.0057__18.2535, 4.9790__18.2446, 5.9595__18.2279, 6.9340__18.1966, 7.8869__18.1514, 8.8314__18.1075, 9.7776__18.0530, 10.7018__17.9920, 11.6823__17.9448, 12.6919__17.9109, 13.7223__17.8799, 14.7417__17.8535, 15.7647__17.8258, 16.7568__17.7946, 17.7592__17.7713, 18.7704__17.7526, 19.8070__17.7376, 20.8267__17.7232, 21.8328__17.7017, 22.8442__17.6809, 23.8736__17.6741, 24.9198__17.6619, 25.9114__17.6539, 26.9426__17.6544, 27.9600__17.6553, 28.9663__17.6584, 29.9688__17.6652, 30.9828__17.6724, 32.0000__17.6731, 
0.0000__17.3016, 1.0424__17.3052, 2.0683__17.2941, 3.0437__17.2914, 4.0192__17.2899, 4.9908__17.2684, 5.9857__17.2467, 6.9644__17.2265, 7.9296__17.2065, 8.8794__17.1658, 9.8222__17.1308, 10.7715__17.0795, 11.7317__17.0042, 12.7286__16.9466, 13.7529__16.9058, 14.7693__16.8716, 15.7938__16.8414, 16.7904__16.8079, 17.7829__16.7771, 18.7955__16.7550, 19.8278__16.7268, 20.8385__16.7070, 21.8612__16.6886, 22.8625__16.6625, 23.8824__16.6459, 24.9208__16.6453, 25.9257__16.6373, 26.9479__16.6207, 27.9533__16.6190, 28.9582__16.6300, 29.9652__16.6375, 30.9819__16.6386, 32.0000__16.6397, 
0.0000__16.3548, 1.0509__16.3489, 2.0698__16.3640, 3.0482__16.3684, 4.0374__16.3428, 5.0175__16.3109, 6.0086__16.2801, 6.9800__16.2653, 7.9539__16.2501, 8.9214__16.2304, 9.8620__16.1873, 10.8315__16.1441, 11.8077__16.0883, 12.7917__16.0043, 13.7909__15.9404, 14.8111__15.8942, 15.8301__15.8458, 16.8285__15.8021, 17.8103__15.7675, 18.8204__15.7426, 19.8490__15.7267, 20.8608__15.7034, 21.8818__15.6797, 22.8944__15.6527, 23.9004__15.6229, 24.9279__15.6021, 25.9432__15.5857, 26.9520__15.5783, 27.9498__15.5775, 28.9471__15.5833, 29.9616__15.5935, 30.9808__15.5989, 32.0000__15.5986, 
0.0000__15.4522, 1.0481__15.4676, 2.0649__15.4708, 3.0661__15.4532, 4.0797__15.4113, 5.0660__15.3481, 6.0282__15.3078, 6.9944__15.2872, 7.9692__15.2724, 8.9450__15.2587, 9.9163__15.2303, 10.8712__15.1815, 11.8806__15.1300, 12.8705__15.0673, 13.8601__14.9847, 14.8625__14.9102, 15.8785__14.8554, 16.8689__14.8039, 17.8441__14.7609, 18.8437__14.7301, 19.8612__14.7123, 20.8868__14.6990, 21.9047__14.6743, 22.9296__14.6435, 23.9434__14.5972, 24.9491__14.5576, 25.9525__14.5406, 26.9499__14.5365, 27.9435__14.5448, 28.9463__14.5491, 29.9506__14.5565, 30.9784__14.5669, 32.0000__14.5679, 
0.0000__14.5078, 1.0344__14.5084, 2.0746__14.5166, 3.0962__14.4940, 4.1440__14.4460, 5.1149__14.4093, 6.0739__14.3589, 7.0133__14.3105, 7.9854__14.2843, 8.9673__14.2570, 9.9457__14.2348, 10.9295__14.1948, 11.9244__14.1433, 12.9366__14.0997, 13.9336__14.0433, 14.9340__13.9746, 15.9383__13.9003, 16.9224__13.8360, 17.8895__13.7762, 18.8741__13.7272, 19.8713__13.7033, 20.9005__13.6963, 21.9407__13.6712, 22.9725__13.6195, 23.9784__13.5822, 24.9841__13.5495, 25.9680__13.5107, 26.9511__13.4979, 27.9370__13.4981, 28.9373__13.5097, 29.9395__13.5263, 30.9734__13.5373, 32.0000__13.5420, 
0.0000__13.4684, 1.0281__13.4734, 2.0665__13.4792, 3.1234__13.4829, 4.1829__13.4880, 5.1620__13.4632, 6.1324__13.4196, 7.0479__13.3734, 8.0096__13.3309, 9.0032__13.2942, 9.9721__13.2528, 10.9726__13.2206, 11.9664__13.1831, 12.9872__13.1350, 13.9969__13.0765, 14.9952__13.0179, 15.9952__12.9743, 16.9814__12.9250, 17.9583__12.8602, 18.9279__12.7892, 19.8944__12.7398, 20.9185__12.7145, 21.9685__12.6937, 23.0020__12.6769, 24.0082__12.6454, 25.0198__12.6103, 26.0124__12.5624, 26.9644__12.5236, 27.9475__12.5116, 28.9380__12.4969, 29.9349__12.4904, 30.9517__12.5131, 32.0000__12.5351, 
0.0000__12.5054, 1.0287__12.4957, 2.0725__12.4750, 3.1220__12.4603, 4.1686__12.4871, 5.2024__12.5104, 6.1740__12.4942, 7.1060__12.4429, 8.0470__12.3753, 9.0416__12.3342, 10.0091__12.2998, 11.0020__12.2614, 12.0148__12.2166, 13.0324__12.1717, 14.0539__12.1319, 15.0495__12.0792, 16.0437__12.0178, 17.0297__11.9663, 18.0093__11.9274, 18.9836__11.8900, 19.9510__11.8303, 20.9419__11.7865, 21.9881__11.7707, 23.0291__11.7367, 24.0487__11.6955, 25.0506__11.6561, 26.0386__11.6357, 26.9983__11.6131, 27.9723__11.5756, 28.9562__11.5579, 29.9552__11.5340, 30.9410__11.5205, 32.0000__11.5254, 
