0.0000__21.0228, 1.0027__21.0228, 2.0054__21.0228, 3.0077__21.0225, 4.0095__21.0220, 5.0108__21.0215, 6.0118__21.0210, 7.0127__21.0204, 8.0134__21.0197, 9.0140__21.0191, 10.0145__21.0184, 11.0149__21.0177, 12.0151__21.0170, 13.0153__21.0163, 14.0152__21.0157, 15.0150__21.0150, 16.0147__21.0144, 17.0143__21.0138, 18.0138__21.0133, 19.0131__21.0127, 20.0122__21.0122, 21.0113__21.0117, 22.0104__21.0113, 23.0093__21.0109, 24.0083__21.0105, 25.0072__21.0103, 26.0061__21.0101, 27.0050__21.0099, 28.0039__21.0098, 29.0029__21.0097, 30.0019__21.0096, 31.0010__21.0096, 32.0000__21.0095, 
0.0000__20.0238, 1.0027__20.0238, 2.0055__20.0238, 3.0080__20.0236, 4.0100__20.0233, 5.0113__20.0229, 6.0124__20.0224, 7.0133__20.0218, 8.0141__20.0212, 9.0147__20.0204, 10.0152__20.0197, 11.0157__20.0189, 12.0159__20.0182, 13.0160__20.0174, 14.0159__20.0166, 15.0157__20.0160, 16.0153__20.0153, 17.0149__20.0147, 18.0143__20.0141, 19.0137__20.0135, 20.0127__20.0129, 21.0118__20.0124, 22.0108__20.0119, 23.0097__20.0115, 24.0086__20.0111, 25.0074__20.0108, 26.0063__20.0106, 27.0051__20.0105, 28.0040__20.0104, 29.0030__20.0103, 30.0020__20.0103, 31.0010__20.0102, 32.0000__20.0102, 
0.0000__19.0248, 1.0027__19.0248, 2.0056__19.0247, 3.0082__19.0247, 4.0102__19.0246, 5.0117__19.0244, 6.0130__19.0239, 7.0140__19.0232, 8.0149__19.0225, 9.0154__19.0217, 10.0160__19.0209, 11.0165__19.0201, 12.0167__19.0193, 13.0168__19.0184, 14.0166__19.0176, 15.0163__19.0169, 16.0159__19.0162, 17.0155__19.0156, 18.0150__19.0149, 19.0143__19.0143, 20.0134__19.0136, 21.0123__19.0130, 22.0112__19.0124, 23.0101__19.0120, 24.0090__19.0116, 25.0077__19.0113, 26.0065__19.0110, 27.0052__19.0108, 28.0040__19.0107, 29.0030__19.0107, 30.0021__19.0106, 31.0010__19.0106, 32.0000__19.0106, 
0.0000__18.0257, 1.0028__18.0257, 2.0056__18.0256, 3.0082__18.0256, 4.0103__18.0255, 5.0120__18.0254, 6.0135__18.0250, 7.0147__18.0244, 8.0157__18.0236, 9.0163__18.0228, 10.0168__18.0219, 11.0173__18.0211, 12.0176__18.0203, 13.0176__18.0194, 14.0174__18.0186, 15.0171__18.0178, 16.0167__18.0170, 17.0162__18.0163, 18.0156__18.0156, 19.0150__18.0149, 20.0141__18.0142, 21.0129__18.0135, 22.0118__18.0129, 23.0106__18.0124, 24.0094__18.0119, 25.0080__18.0115, 26.0067__18.0112, 27.0053__18.0110, 28.0041__18.0109, 29.0031__18.0108, 30.0021__18.0108, 31.0011__18.0107, 32.0000__18.0107, 
0.0000__17.0267, 1.0029__17.0266, 2.0057__17.0265, 3.0082__17.0264, 4.0104__17.0263, 5.0123__17.0260, 6.0140__17.0256, 7.0154__17.0252, 8.0165__17.0245, 9.0172__17.0237, 10.0177__17.0228, 11.0181__17.0220, 12.0184__17.0211, 13.0184__17.0203, 14.0182__17.0195, 15.0179__17.0186, 16.0175__17.0177, 17.0169__17.0169, 18.0163__17.0161, 19.0157__17.0154, 20.0147__17.0147, 21.0136__17.0140, 22.0124__17.0133, 23.0111__17.0127, 24.0099__17.0121, 25.0084__17.0117, 26.0069__17.0113, 27.0055__17.0111, 28.0042__17.0110, 29.0032__17.0109, 30.0022__17.0108, 31.0011__17.0107, 32.0000__17.0107, 
0.0000__16.0278, 1.0030__16.0278, 2.0058__16.0276, 3.0084__16.0273, 4.0107__16.0269, 5.0127__16.0266, 6.0144__16.0262, 7.0159__16.0257, 8.0172__16.0251, 9.0180__16.0244, 10.0185__16.0236, 11.0189__16.0227, 12.0192__16.0219, 13.0193__16.0210, 14.0191__16.0202, 15.0188__16.0193, 16.0183__16.0184, 17.0178__16.0175, 18.0171__16.0166, 19.0164__16.0158, 20.0155__16.0150, 21.0143__16.0143, 22.0131__16.0136, 23.0117__16.0129, 24.0104__16.0123, 25.0088__16.0118, 26.0072__16.0114, 27.0057__16.0111, 28.0044__16.0109, 29.0033__16.0106, 30.0023__16.0105, 31.0011__16.0105, 32.0000__16.0105, 
0.0000__15.0292, 1.0032__15.0291, 2.0062__15.0288, 3.0088__15.0283, 4.0112__15.0278, 5.0131__15.0272, 6.0148__15.0267, 7.0164__15.0261, 8.0178__15.0255, 9.0188__15.0249, 10.0194__15.0241, 11.0197__15.0233, 12.0201__15.0224, 13.0201__15.0216, 14.0200__15.0207, 15.0197__15.0198, 16.0193__15.0189, 17.0187__15.0179, 18.0180__15.0169, 19.0172__15.0161, 20.0162__15.0153, 21.0150__15.0145, 22.0138__15.0138, 23.0124__15.0131, 24.0109__15.0125, 25.0093__15.0119, 26.0076__15.0114, 27.0061__15.0110, 28.0047__15.0106, 29.0035__15.0103, 30.0023__15.0102, 31.0012__15.0102, 32.0000__15.0101, 
0.0000__14.0299, 1.0034__14.0298, 2.0066__14.0296, 3.0094__14.0292, 4.0118__14.0286, 5.0138__14.0279, 6.0155__14.0272, 7.0170__14.0266, 8.0184__14.0259, 9.0195__14.0252, 10.0202__14.0245, 11.0206__14.0236, 12.0209__14.0228, 13.0210__14.0220, 14.0209__14.0211, 15.0206__14.0202, 16.0203__14.0192, 17.0197__14.0181, 18.0190__14.0171, 19.0180__14.0161, 20.0170__14.0154, 21.0158__14.0146, 22.0145__14.0138, 23.0131__14.0131, 24.0115__14.0124, 25.0099__14.0118, 26.0081__14.0113, 27.0065__14.0108, 28.0051__14.0103, 29.0037__14.0100, 30.0024__14.0098, 31.0012__14.0098, 32.0000__14.0098, 
0.0000__13.0296, 1.0036__13.0295, 2.0068__13.0293, 3.0097__13.0292, 4.0124__13.0289, 5.0145__13.0284, 6.0162__13.0277, 7.0176__13.0270, 8.0191__13.0263, 9.0203__13.0256, 10.0210__13.0248, 11.0215__13.0240, 12.0217__13.0231, 13.0219__13.0222, 14.0218__13.0213, 15.0216__13.0203, 16.0213__13.0193, 17.0208__13.0183, 18.0200__13.0172, 19.0189__13.0162, 20.0177__13.0153, 21.0166__13.0145, 22.0153__13.0138, 23.0139__13.0130, 24.0122__13.0123, 25.0105__13.0117, 26.0087__13.0110, 27.0070__13.0104, 28.0055__13.0100, 29.0040__13.0096, 30.0025__13.0094, 31.0012__13.0094, 32.0000__13.0094, 
0.0000__12.0297, 1.0038__12.0296, 2.0071__12.0292, 3.0099__12.0289, 4.0125__12.0288, 5.0150__12.0287, 6.0170__12.0281, 7.0184__12.0273, 8.0198__12.0266, 9.0210__12.0259, 10.0219__12.0251, 11.0223__12.0242, 12.0226__12.0233, 13.0228__12.0224, 14.0228__12.0214, 15.0226__12.0204, 16.0223__12.0193, 17.0218__12.0184, 18.0210__12.0174, 19.0199__12.0164, 20.0186__12.0154, 21.0174__12.0145, 22.0161__12.0137, 23.0146__12.0129, 24.0129__12.0121, 25.0111__12.0114, 26.0094__12.0107, 27.0076__12.0101, 28.0059__12.0096, 29.0042__12.0092, 30.0026__12.0090, 31.0012__12.0089, 32.0000__12.0089, 
0.0000__11.0289, 1.0039__11.0289, 2.0074__11.0289, 3.0101__11.0288, 4.0126__11.0284, 5.0152__11.0283, 6.0175__11.0281, 7.0192__11.0275, 8.0204__11.0268, 9.0217__11.0261, 10.0227__11.0253, 11.0233__11.0244, 12.0236__11.0234, 13.0238__11.0224, 14.0238__11.0215, 15.0237__11.0204, 16.0233__11.0194, 17.0228__11.0184, 18.0220__11.0174, 19.0209__11.0165, 20.0196__11.0154, 21.0183__11.0144, 22.0170__11.0135, 23.0154__11.0126, 24.0136__11.0119, 25.0119__11.0111, 26.0101__11.0104, 27.0082__11.0098, 28.0063__11.0093, 29.0045__11.0089, 30.0028__11.0086, 31.0013__11.0084, 32.0000__11.0084, 
0.0000__10.0274, 1.0038__10.0275, 2.0073__10.0277, 3.0103__10.0278, 4.0129__10.0277, 5.0152__10.0276, 6.0177__10.0276, 7.0198__10.0274, 8.0211__10.0268, 9.0224__10.0261, 10.0236__10.0253, 11.0243__10.0244, 12.0246__10.0233, 13.0247__10.0223, 14.0248__10.0214, 15.0247__10.0204, 16.0244__10.0193, 17.0238__10.0182, 18.0229__10.0172, 19.0219__10.0162, 20.0207__10.0152, 21.0193__10.0141, 22.0178__10.0131, 23.0162__10.0123, 24.0144__10.0115, 25.0126__10.0108, 26.0107__10.0101, 27.0087__10.0095, 28.0068__10.0090, 29.0049__10.0085, 30.0031__10.0082, 31.0014__10.0080, 32.0000__10.0080, 
0.0000__9.0256, 1.0036__9.0257, 2.0071__9.0259, 3.0101__9.0262, 4.0129__9.0264, 5.0152__9.0266, 6.0177__9.0267, 7.0200__9.0267, 8.0217__9.0265, 9.0232__9.0259, 10.0245__9.0251, 11.0253__9.0242, 12.0256__9.0232, 13.0257__9.0221, 14.0258__9.0211, 15.0258__9.0201, 16.0255__9.0191, 17.0249__9.0179, 18.0240__9.0168, 19.0229__9.0158, 20.0218__9.0148, 21.0204__9.0137, 22.0188__9.0127, 23.0170__9.0118, 24.0152__9.0110, 25.0133__9.0103, 26.0113__9.0097, 27.0093__9.0092, 28.0073__9.0087, 29.0053__9.0083, 30.0034__9.0079, 31.0015__9.0077, 32.0000__9.0077, 
0.0000__8.0234, 1.0034__8.0235, 2.0068__8.0238, 3.0099__8.0241, 4.0126__8.0244, 5.0151__8.0246, 6.0175__8.0249, 7.0199__8.0251, 8.0219__8.0252, 9.0237__8.0249, 10.0253__8.0243, 11.0262__8.0235, 12.0266__8.0225, 13.0267__8.0215, 14.0268__8.0205, 15.0268__8.0195, 16.0266__8.0185, 17.0260__8.0175, 18.0251__8.0165, 19.0240__8.0154, 20.0228__8.0143, 21.0214__8.0133, 22.0197__8.0124, 23.0179__8.0115, 24.0159__8.0106, 25.0139__8.0099, 26.0118__8.0092, 27.0098__8.0087, 28.0077__8.0083, 29.0057__8.0079, 30.0036__8.0076, 31.0017__8.0074, 32.0000__8.0073, 
0.0000__7.0211, 1.0032__7.0211, 2.0065__7.0214, 3.0096__7.0217, 4.0123__7.0220, 5.0148__7.0223, 6.0173__7.0225, 7.0196__7.0227, 8.0219__7.0229, 9.0241__7.0228, 10.0259__7.0225, 11.0270__7.0219, 12.0274__7.0212, 13.0277__7.0205, 14.0278__7.0196, 15.0278__7.0187, 16.0275__7.0178, 17.0270__7.0168, 18.0261__7.0158, 19.0250__7.0148, 20.0238__7.0137, 21.0223__7.0128, 22.0206__7.0118, 23.0187__7.0109, 24.0167__7.0101, 25.0146__7.0093, 26.0124__7.0087, 27.0103__7.0082, 28.0081__7.0077, 29.0060__7.0073, 30.0039__7.0070, 31.0018__7.0068, 32.0000__7.0067, 
0.0000__6.0186, 1.0031__6.0186, 2.0062__6.0188, 3.0093__6.0190, 4.0120__6.0193, 5.0146__6.0195, 6.0171__6.0197, 7.0194__6.0199, 8.0218__6.0201, 9.0242__6.0202, 10.0262__6.0201, 11.0275__6.0198, 12.0280__6.0194, 13.0284__6.0188, 14.0287__6.0181, 15.0286__6.0173, 16.0283__6.0165, 17.0279__6.0157, 18.0271__6.0149, 19.0260__6.0140, 20.0248__6.0130, 21.0233__6.0121, 22.0215__6.0111, 23.0196__6.0102, 24.0176__6.0094, 25.0153__6.0086, 26.0130__6.0080, 27.0108__6.0075, 28.0085__6.0070, 29.0063__6.0066, 30.0042__6.0063, 31.0020__6.0061, 32.0000__6.0060, 
0.0000__5.0160, 1.0031__5.0160, 2.0061__5.0161, 3.0091__5.0162, 4.0118__5.0164, 5.0144__5.0165, 6.0169__5.0166, 7.0193__5.0167, 8.0216__5.0168, 9.0240__5.0170, 10.0262__5.0172, 11.0278__5.0172, 12.0285__5.0169, 13.0289__5.0164, 14.0293__5.0159, 15.0294__5.0152, 16.0290__5.0146, 17.0285__5.0141, 18.0278__5.0136, 19.0269__5.0129, 20.0258__5.0121, 21.0243__5.0111, 22.0225__5.0102, 23.0205__5.0092, 24.0183__5.0084, 25.0160__5.0077, 26.0136__5.0071, 27.0113__5.0066, 28.0090__5.0061, 29.0067__5.0057, 30.0044__5.0055, 31.0022__5.0053, 32.0000__5.0052, 
0.0000__4.0134, 1.0031__4.0134, 2.0061__4.0134, 3.0090__4.0134, 4.0118__4.0134, 5.0144__4.0134, 6.0169__4.0134, 7.0192__4.0134, 8.0215__4.0135, 9.0238__4.0137, 10.0260__4.0140, 11.0278__4.0143, 12.0288__4.0142, 13.0294__4.0139, 14.0298__4.0135, 15.0300__4.0131, 16.0295__4.0126, 17.0290__4.0120, 18.0283__4.0114, 19.0276__4.0109, 20.0265__4.0103, 21.0251__4.0097, 22.0234__4.0090, 23.0214__4.0081, 24.0191__4.0073, 25.0166__4.0066, 26.0142__4.0060, 27.0118__4.0055, 28.0094__4.0051, 29.0070__4.0047, 30.0046__4.0045, 31.0023__4.0043, 32.0000__4.0043, 
0.0000__3.0106, 1.0031__3.0106, 2.0061__3.0105, 3.0090__3.0104, 4.0118__3.0103, 5.0144__3.0103, 6.0169__3.0102, 7.0192__3.0102, 8.0214__3.0102, 9.0235__3.0104, 10.0257__3.0106, 11.0276__3.0110, 12.0289__3.0112, 13.0296__3.0111, 14.0301__3.0109, 15.0304__3.0105, 16.0300__3.0101, 17.0295__3.0096, 18.0289__3.0091, 19.0280__3.0087, 20.0270__3.0083, 21.0256__3.0079, 22.0241__3.0074, 23.0222__3.0068, 24.0198__3.0061, 25.0173__3.0054, 26.0148__3.0048, 27.0122__3.0043, 28.0097__3.0040, 29.0072__3.0037, 30.0048__3.0035, 31.0024__3.0033, 32.0000__3.0033, 
0.0000__2.0074, 1.0032__2.0074, 2.0062__2.0073, 3.0091__2.0072, 4.0118__2.0071, 5.0144__2.0070, 6.0169__2.0070, 7.0192__2.0069, 8.0214__2.0069, 9.0234__2.0070, 10.0254__2.0071, 11.0272__2.0074, 12.0288__2.0077, 13.0297__2.0077, 14.0303__2.0077, 15.0307__2.0075, 16.0305__2.0072, 17.0299__2.0069, 18.0292__2.0066, 19.0283__2.0063, 20.0273__2.0061, 21.0259__2.0058, 22.0245__2.0057, 23.0228__2.0053, 24.0205__2.0047, 25.0179__2.0040, 26.0153__2.0035, 27.0126__2.0031, 28.0100__2.0028, 29.0075__2.0025, 30.0050__2.0024, 31.0025__2.0023, 32.0000__2.0022, 
0.0000__1.0038, 1.0032__1.0038, 2.0063__1.0037, 3.0092__1.0037, 4.0119__1.0036, 5.0145__1.0036, 6.0169__1.0036, 7.0192__1.0036, 8.0214__1.0036, 9.0234__1.0036, 10.0252__1.0036, 11.0270__1.0037, 12.0286__1.0039, 13.0297__1.0040, 14.0304__1.0040, 15.0308__1.0040, 16.0307__1.0039, 17.0302__1.0037, 18.0294__1.0035, 19.0285__1.0034, 20.0275__1.0033, 21.0261__1.0032, 22.0245__1.0031, 23.0232__1.0030, 24.0210__1.0028, 25.0185__1.0023, 26.0157__1.0019, 27.0129__1.0016, 28.0102__1.0014, 29.0076__1.0013, 30.0051__1.0012, 31.0025__1.0011, 32.0000__1.0011, 
0.0000__0.0000, 1.0033__0.0000, 2.0063__0.0000, 3.0092__0.0000, 4.0119__0.0000, 5.0145__0.0000, 6.0169__0.0000, 7.0192__0.0000, 8.0214__0.0000, 9.0234__0.0000, 10.0252__0.0000, 11.0269__0.0000, 12.0285__0.0000, 13.0297__0.0000, 14.0304__0.0000, 15.0308__0.0000, 16.0308__0.0000, 17.0303__0.0000, 18.0295__0.0000, 19.0286__0.0000, 20.0275__0.0000, 21.0261__0.0000, 22.0246__0.0000, 23.0232__0.0000, 24.0212__0.0000, 25.0187__0.0000, 26.0159__0.0000, 27.0130__0.0000, 28.0103__0.0000, 29.0077__0.0000, 30.0051__0.0000, 31.0026__0.0000, 32.0000__0.0000
